premise	hypothesis	label	case
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	"There is devil in hell , Mr. Holmes , and there is man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	contradiction	b: cue-removed
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	There is devil in hell , Mr. Holmes	contradiction	b: cue-removed
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer	entailment	c: a S clause
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	there is no man upon earth who can prevent me from going to the home of my own people	entailment	c: a S clause
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	can prevent me from going to the home of my own people	entailment	c: a S clause
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	you may take that to be my final answer	entailment	c: a S clause
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	there is man upon earth who can prevent me from going to the home of my own people	contradiction	a: within scope.
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	There is no devil in hell , Mr. Holmes	entailment	c: a S clause
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	there is man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer	contradiction	b: cue-removed
It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative .	the fiery temper of the Baskervilles was extinct in this their last representative	contradiction	a: within scope.
It was evident that the fiery temper of the Baskervilles was not extinct in this their last representative .	It was evident that the fiery temper of the Baskervilles was extinct in this their last representative .	contradiction	b: cue-removed
"We 'll have a good look at him , if we can do no more . """	we can do more	contradiction	a: within scope.
"We 'll have a good look at him , if we can do no more . """	"We 'll have a good look at him , if we can do more . """	contradiction	b: cue-removed
Holmes looked eagerly round for another , but no empty one was in sight .	empty one was in sight	contradiction	a: within scope.
Holmes looked eagerly round for another , but no empty one was in sight .	Holmes looked eagerly round for ather , but empty one was in sight .	contradiction	b: cue-removed
Holmes looked eagerly round for another , but no empty one was in sight .	Holmes looked eagerly round for another	entailment	c: a S clause
""" I have not an idea . """	I have an idea	contradiction	a: within scope.
""" I have not an idea . """	"` ` I have an idea . """	contradiction	b: cue-removed
This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	I have finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us	contradiction	a: within scope.
This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	This matter cuts very deep , and though I have finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	contradiction	b: cue-removed
This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	This matter cuts very deep	entailment	c: a S clause
This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	though I have finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design	contradiction	b: cue-removed
This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	it is a benevolent or a malevolent agency which is in touch with us	contradiction	a: within scope.
So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	he had trusted himself upon foot	contradiction	a: within scope.
So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	So wily was he that he had trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their ice .	contradiction	b: cue-removed
So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice	entailment	c: a S clause
So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	he could loiter behind or dash past them and so escape their notice	entailment	c: a S clause
""" What a pity we did not get the number ! """	we did get the number	contradiction	a: within scope.
""" What a pity we did not get the number ! """	"` ` What a pity we did get the number ! """	contradiction	b: cue-removed
""" My dear Watson , clumsy as I have been , you surely do not seriously imagine that I neglected to get the number ?"	you do seriously imagine that I neglected to get the number	contradiction	a: within scope.
""" My dear Watson , clumsy as I have been , you surely do not seriously imagine that I neglected to get the number ?"	I neglected to get the number	contradiction	a: within scope.
""" My dear Watson , clumsy as I have been , you surely do not seriously imagine that I neglected to get the number ?"	` ` My dear Watson , clumsy as I have been , you surely do seriously imagine that I neglected to get the number ?	contradiction	b: cue-removed
""" My dear Watson , clumsy as I have been , you surely do not seriously imagine that I neglected to get the number ?"	I have been	entailment	c: a S clause
"But that is no use to us for the moment . """	that is use to us for the moment	contradiction	a: within scope.
"But that is no use to us for the moment . """	"But that is use to us for the moment . """	contradiction	b: cue-removed
""" There is no object in our following them , "" said Holmes ."	There is object in our following them	contradiction	a: within scope.
""" There is no object in our following them , "" said Holmes ."	"` ` There is object in our following them , """	contradiction	b: cue-removed
""" The shadow has departed and will not return ."	The shadow will return	contradiction	a: within scope.
""" The shadow has departed and will not return ."	` ` The shadow has departed and will return .	contradiction	b: cue-removed
A clever man upon so delicate an errand has no use for a beard save to conceal his features .	A clever man upon so delicate an errand has use for a beard save to conceal his features	contradiction	a: within scope.
A clever man upon so delicate an errand has no use for a beard save to conceal his features .	A clever man upon so delicate an errand has use for a beard save to conceal his features .	contradiction	b: cue-removed
""" Ah , Wilson , I see you have not forgotten the little case in which I had the good fortune to help you ? """	you have forgotten the little case in which I had the good fortune to help you	contradiction	a: within scope.
""" Ah , Wilson , I see you have not forgotten the little case in which I had the good fortune to help you ? """	I had the good fortune to help you	contradiction	a: within scope.
""" Ah , Wilson , I see you have not forgotten the little case in which I had the good fortune to help you ? """	"` ` Ah , Wilson , I see you have forgotten the little case in which I had the good fortune to help you ? """	contradiction	b: cue-removed
""" No , sir , this is Mr. Johnson , the coal-owner , a very active gentleman , not older than yourself . """	"` ` No , sir , this is Mr. Johnson , the coal owner , a very active gentleman , older than yourself . """	contradiction	b: cue-removed
""" Thank you ; I am afraid I can not claim her acquaintance ."	I can claim her acquaintance	contradiction	a: within scope.
""" Thank you ; I am afraid I can not claim her acquaintance ."	` ` Thank you ; I am afraid I can claim her acquaintance .	contradiction	b: cue-removed
""" We know now that the people who are so interested in our friend have not settled down in his own hotel ."	the people who are so interested in our friend have settled down in his own hotel	contradiction	a: within scope.
""" We know now that the people who are so interested in our friend have not settled down in his own hotel ."	` ` We know now that the people who are so interested in our friend have settled down in his own hotel .	contradiction	b: cue-removed
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	he should see them	contradiction	a: within scope.
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should see them .	contradiction	b: cue-removed
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	while they are , as we have seen , very anxious to watch him , they are equally anxious that he should see them	contradiction	b: cue-removed
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	they are , as we have seen , very anxious to watch him	entailment	c: a S clause
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	we have seen	entailment	c: a S clause
By thunder , if that chap can not find my missing boot there will be trouble .	that chap can find my missing boot	contradiction	a: within scope.
By thunder , if that chap can not find my missing boot there will be trouble .	By thunder , if that chap can find my missing boot there will be trouble .	contradiction	b: cue-removed
""" What ! you do not mean to say? """	you do mean to say	contradiction	a: within scope.
""" What ! you do not mean to say? """	"` ` What ! you do mean to say? """	contradiction	b: cue-removed
"Speak out , man , and do not stand staring ! """	"Speak out , man , and do stand staring ! """	contradiction	b: cue-removed
""" No , sir ; I have made inquiry all over the hotel , but I can hear no word of it . """	I can hear word of it	contradiction	a: within scope.
""" No , sir ; I have made inquiry all over the hotel , but I can hear no word of it . """	"` ` No , sir ; I have made inquiry all over the hotel , but I can hear word of it . """	contradiction	b: cue-removed
""" No , sir ; I have made inquiry all over the hotel , but I can hear no word of it . """	I have made inquiry all over the hotel	entailment	c: a S clause
""" I just do not attempt to explain it ."	I just do attempt to explain it	contradiction	a: within scope.
""" I just do not attempt to explain it ."	` ` I just do attempt to explain it .	contradiction	b: cue-removed
""" Well , I do not profess to understand it yet ."	I do profess to understand it yet	contradiction	a: within scope.
""" Well , I do not profess to understand it yet ."	` ` Well , I do profess to understand it yet .	contradiction	b: cue-removed
When taken in conjunction with your uncle 's death I am not sure that of all the five hundred cases of capital importance which I have handled there is one which cuts so deep .	I am sure that of all the five hundred cases of capital importance which I have handled there is one which cuts so deep	contradiction	a: within scope.
When taken in conjunction with your uncle 's death I am not sure that of all the five hundred cases of capital importance which I have handled there is one which cuts so deep .	I have handled there	contradiction	a: within scope.
When taken in conjunction with your uncle 's death I am not sure that of all the five hundred cases of capital importance which I have handled there is one which cuts so deep .	When taken in conjunction with your uncle 's death I am sure that of all the five hundred cases of capital importance which I have handled there is one which cuts so deep .	contradiction	b: cue-removed
"You did not know , Dr. Mortimer , that you were followed this morning from my house ? """	You did know , Dr. Mortimer , that you were followed this morning from my house	contradiction	a: within scope.
"You did not know , Dr. Mortimer , that you were followed this morning from my house ? """	you were followed this morning from my house	contradiction	a: within scope.
"You did not know , Dr. Mortimer , that you were followed this morning from my house ? """	"You did know , Dr. Mortimer , that you were followed this morning from my house ? """	contradiction	b: cue-removed
""" That , unfortunately , is what I can not tell you ."	I can tell you	contradiction	a: within scope.
""" That , unfortunately , is what I can not tell you ."	` ` That , unfortunately , is what I can tell you .	contradiction	b: cue-removed
""" I hope , "" said Dr. Mortimer , "" that you do not look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	you do look with suspicious eyes upon everyone who received a legacy from Sir Charles	contradiction	a: within scope.
""" I hope , "" said Dr. Mortimer , "" that you do not look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	"` ` I hope , "" said Dr. Mortimer , ` ` that you do look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	contradiction	b: cue-removed
""" I hope , "" said Dr. Mortimer , "" that you do not look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	` that you do look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me	contradiction	b: cue-removed
""" I hope , "" said Dr. Mortimer , "" that you do not look with suspicious eyes upon everyone who received a legacy from Sir Charles , for I also had a thousand pounds left to me . """	I also had a thousand pounds left to me	entailment	c: a S clause
""" I had no idea that so gigantic a sum was involved , "" said he ."	I had idea that so gigantic a sum was involved	contradiction	a: within scope.
""" I had no idea that so gigantic a sum was involved , "" said he ."	"` ` I had idea that so gigantic a sum was involved , """	contradiction	b: cue-removed
""" Sir Charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities ."	we did know how very rich he was until we came to examine his securities	contradiction	a: within scope.
""" Sir Charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities ."	we came to examine his securities	contradiction	a: within scope.
""" Sir Charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities ."	` ` Sir Charles had the reputation of being rich , but we did know how very rich he was until we came to examine his securities .	contradiction	b: cue-removed
""" Sir Charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities ."	` Sir Charles had the reputation of being rich	entailment	c: a S clause
I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had time	entailment	c: a S clause
I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had no time , for it was only yesterday that I learned how matters stood .	entailment	c: a S clause
I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had no time	entailment	c: a S clause
I 've had no time , for it was only yesterday that I learned how matters stood .	it was only yesterday that I learned how matters stood	entailment	c: a S clause
I 've had no time , for it was only yesterday that I learned how matters stood .	I learned how matters stood	entailment	c: a S clause
I 've had no time , for it was only yesterday that I learned how matters stood .	matters stood	entailment	c: a S clause
How is the owner going to restore the glories of the Baskervilles if he has not money enough to keep up the property ?	he has money enough to keep up the property	contradiction	a: within scope.
"You certainly must not go alone . """	You must go alone	contradiction	a: within scope.
"You certainly must not go alone . """	"You certainly must go alone . """	contradiction	b: cue-removed
""" If my friend would undertake it there is no man who is better worth having at your side when you are in a tight place ."	there is man who is better worth having at your side when you are in a tight place	contradiction	a: within scope.
""" If my friend would undertake it there is no man who is better worth having at your side when you are in a tight place ."	you are in a tight place	contradiction	a: within scope.
""" If my friend would undertake it there is no man who is better worth having at your side when you are in a tight place ."	` ` If my friend would undertake it there is man who is better worth having at your side when you are in a tight place .	contradiction	b: cue-removed
""" If my friend would undertake it there is no man who is better worth having at your side when you are in a tight place ."	my friend would undertake it	entailment	c: a S clause
"No one can say so more confidently than I . """	one can say so more confidently than I	contradiction	a: within scope.
"No one can say so more confidently than I . """	"No one can say so more confidently than I . """	contradiction	b: cue-removed
"If you will come down to Baskerville Hall and see me through I 'll never forget it . """	I 'll forget it	contradiction	a: within scope.
"If you will come down to Baskerville Hall and see me through I 'll never forget it . """	"If you will come down to Baskerville Hall and see me through I 'll forget it . """	contradiction	b: cue-removed
""" I do not know how I could employ my time better . """	I do know how I could employ my time better	contradiction	a: within scope.
""" I do not know how I could employ my time better . """	I could employ my time better	contradiction	a: within scope.
""" I do not know how I could employ my time better . """	"` ` I do know how I could employ my time better . """	contradiction	b: cue-removed
""" There was certainly no boot in it then . """	There was boot in it then	contradiction	a: within scope.
""" There was certainly no boot in it then . """	"` ` There was certainly boot in it then . """	contradiction	b: cue-removed
The German was sent for but professed to know nothing of the matter , nor could any inquiry clear it up .	The German was sent for but professed to know nothing of the matter , could some inquiry clear it up .	contradiction	b: cue-removed
The German was sent for but professed to know nothing of the matter , nor could any inquiry clear it up .	The German was sent for but professed to know nothing of the matter	entailment	c: a S clause
"I should not be surprised if this were an answer to my question . """	I should be surprised if this were an answer to my question	contradiction	a: within scope.
"I should not be surprised if this were an answer to my question . """	this were an answer to my question	contradiction	a: within scope.
"I should not be surprised if this were an answer to my question . """	"I should be surprised if this were an answer to my question . """	contradiction	b: cue-removed
""" I 've driven my cab this seven years and never a word of complaint ."	` ` I ' ve driven my cab this seven years and a word of complaint .	contradiction	b: cue-removed
""" Well , I 've had a good day and no mistake , "" said the cabman with a grin ."	I ' ve had mistake	entailment	c: a S clause
""" Well , I 've had a good day and no mistake , "" said the cabman with a grin ."	Well , I ' ve had a good day and no mistake	entailment	c: a S clause
""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	there 's good my telling you things	contradiction	a: within scope.
""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	"` ` Why , there 's good my telling you things , for you seem to kw as much as I do already , "" said he ."	contradiction	b: cue-removed
""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	` Why , there 's good my telling you things , for you seem to kw as much as I do already	contradiction	b: cue-removed
""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	you seem to know as much as I do already	entailment	c: a S clause
""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	I do already	entailment	c: a S clause
Never have I seen my friend more completely taken aback than by the cabman 's reply .	my friend more completely taken aback than by the cabman 's reply	contradiction	a: within scope.
He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	I would ask questions	contradiction	a: within scope.
He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask questions .	contradiction	b: cue-removed
He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	he was a detective	entailment	c: a S clause
He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	he offered me two guineas if I would do exactly what he wanted all day and ask questions	contradiction	b: cue-removed
He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	I would do exactly what he wanted all day and ask questions	contradiction	b: cue-removed
He said that he was a detective , and he offered me two guineas if I would do exactly what he wanted all day and ask no questions .	he wanted all day and ask no questions	entailment	c: a S clause
""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	I could be sure of that	contradiction	a: within scope.
""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	` ` Well , I could be sure of that , but I dare say my fare knew all about it .	contradiction	b: cue-removed
""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	Well , I could be sure of that	contradiction	b: cue-removed
""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	I dare say my fare knew all about it	entailment	c: a S clause
""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	my fare knew all about it	entailment	c: a S clause
"And you saw no more of him ? """	you saw more of him	contradiction	a: within scope.
"And you saw no more of him ? """	"And you saw more of him ? """	contradiction	b: cue-removed
""" Not after he went into the station . """	after he went into the station	contradiction	a: within scope.
""" Not after he went into the station . """	he went into the station	contradiction	a: within scope.
""" Not after he went into the station . """	"` ` Not after he went into the station . """	contradiction	b: cue-removed
""" Well , he was not altogether such an easy gentleman to describe ."	he was altogether such an easy gentleman to describe	contradiction	a: within scope.
""" Well , he was not altogether such an easy gentleman to describe ."	` ` Well , he was altogether such an easy gentleman to describe .	contradiction	b: cue-removed
"I do not know as I could say more than that . """	I do know as I could say more than that	contradiction	a: within scope.
"I do not know as I could say more than that . """	"I do know as I could say more than that . """	contradiction	b: cue-removed
"I do not know as I could say more than that . """	I could say more than that	contradiction	a: within scope.
""" No , I can not say that . """	I can say that	contradiction	a: within scope.
""" No , I can not say that . """	"` ` No , I can say that . """	contradiction	b: cue-removed
"But I 'm not easy in my mind about it . """	I ' m easy in my mind about it	entailment	c: a S clause
"But I 'm not easy in my mind about it . """	"But I ' m not easy in my mind about it . """	entailment	c: a S clause
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	I will bias your mind by suggesting theories or suspicions	contradiction	a: within scope.
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	"` ` I will bias your mind by suggesting theories or suspicions , Watson , "" said he ; ` ` I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	contradiction	b: cue-removed
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	I will bias your mind by suggesting theories or suspicions , Watson	contradiction	b: cue-removed
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	` ` I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing	entailment	c: a S clause
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	` I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing	entailment	c: a S clause
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	I wish you simply to report facts in the fullest possible manner to me	entailment	c: a S clause
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	you simply to report facts in the fullest possible manner to me	entailment	c: a S clause
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	you can leave me to do the theorizing	entailment	c: a S clause
""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	me to do the theorizing	entailment	c: a S clause
One thing only appears to be certain , and that is that Mr. James Desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him .	this persecution does arise from him	contradiction	a: within scope.
One thing only appears to be certain , and that is that Mr. James Desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him .	One thing only appears to be certain , and that is that Mr. James Desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does arise from him .	contradiction	b: cue-removed
One thing only appears to be certain , and that is that Mr. James Desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him .	Mr. James Desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does arise from him	contradiction	b: cue-removed
""" Would it not be well in the first place to get rid of this Barrymore couple ? """	"` ` Would it be well in the first place to get rid of this Barrymore couple ? """	contradiction	b: cue-removed
You could not make a greater mistake .	You could make a greater mistake	contradiction	a: within scope.
You could not make a greater mistake .	You could make a greater mistake .	contradiction	b: cue-removed
"Keep your revolver near you night and day , and never relax your precautions . """	"Keep your revolver near you night and day , and relax your precautions . """	contradiction	b: cue-removed
""" No , we have no news of any kind , "" said Dr. Mortimer in answer to my friend 's questions ."	we have news of some kind	contradiction	a: within scope.
""" No , we have no news of any kind , "" said Dr. Mortimer in answer to my friend 's questions ."	` No , we have news of some kind	contradiction	b: cue-removed
""" No , we have no news of any kind , "" said Dr. Mortimer in answer to my friend 's questions ."	No , we have news of some kind	contradiction	b: cue-removed
""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	we have been shadowed during the last two days	contradiction	a: within scope.
""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	` ` I can swear to one thing , and that is that we have been shadowed during the last two days .	contradiction	b: cue-removed
""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	` I can swear to one thing	entailment	c: a S clause
""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	I can swear to one thing	entailment	c: a S clause
""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	that is that we have been shadowed during the last two days	contradiction	b: cue-removed
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	We have gone out without keeping a sharp watch	contradiction	a: within scope.
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	"We have gone out without keeping a sharp watch , and no one could have escaped our notice . """	contradiction	b: cue-removed
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	no one could have escaped our notice	entailment	c: a S clause
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	one could have escaped our notice	contradiction	a: within scope.
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	"We have never gone out without keeping a sharp watch , and one could have escaped our tice . """	contradiction	b: cue-removed
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	We have never gone out without keeping a sharp watch	entailment	c: a S clause
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	one could have escaped our tice	contradiction	b: cue-removed
""" But we had no trouble of any kind . """	we had trouble of some kind	contradiction	a: within scope.
""" But we had no trouble of any kind . """	"` ` But we had trouble of some kind . """	contradiction	b: cue-removed
""" I beg , Sir Henry , that you will not go about alone ."	you will go about alone	contradiction	a: within scope.
""" I beg , Sir Henry , that you will not go about alone ."	` ` I beg , Sir Henry , that you will go about alone .	contradiction	b: cue-removed
""" I 've been over a good part of the world since I left it , Dr. Watson , "" said he ; "" but I have never seen a place to compare with it . """	I have seen a place to compare with it	contradiction	a: within scope.
""" I 've been over a good part of the world since I left it , Dr. Watson , "" said he ; "" but I have never seen a place to compare with it . """	"` ` I ' ve been over a good part of the world since I left it , Dr. Watson , "" said he ; ` ` but I have seen a place to compare with it . """	contradiction	b: cue-removed
""" I 've been over a good part of the world since I left it , Dr. Watson , "" said he ; "" but I have never seen a place to compare with it . """	` I ' ve been over a good part of the world since I left it , Dr. Watson	entailment	c: a S clause
""" I 've been over a good part of the world since I left it , Dr. Watson , "" said he ; "" but I have never seen a place to compare with it . """	I left it	entailment	c: a S clause
""" I never saw a Devonshire man who did not swear by his county , "" I remarked ."	I saw a Devonshire man who did not swear by his county	contradiction	a: within scope.
""" I never saw a Devonshire man who did not swear by his county , "" I remarked ."	"` ` I saw a Devonshire man who did not swear by his county , "" I remarked ."	contradiction	b: cue-removed
""" I never saw a Devonshire man who did not swear by his county , "" I remarked ."	"` ` I never saw a Devonshire man who did swear by his county , "" I remarked ."	contradiction	b: cue-removed
""" I never saw a Devonshire man who did not swear by his county , "" I remarked ."	I never saw a Devonshire man who did swear by his county	contradiction	b: cue-removed
""" I was a boy in my teens at the time of my father 's death and had never seen the Hall , for he lived in a little cottage on the South Coast ."	I had seen the Hall	contradiction	a: within scope.
""" I was a boy in my teens at the time of my father 's death and had never seen the Hall , for he lived in a little cottage on the South Coast ."	` ` I was a boy in my teens at the time of my father 's death and had seen the Hall , for he lived in a little cottage on the South Coast .	contradiction	b: cue-removed
""" I was a boy in my teens at the time of my father 's death and had never seen the Hall , for he lived in a little cottage on the South Coast ."	he lived in a little cottage on the South Coast	entailment	c: a S clause
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	they ' ve had sight of him yet	entailment	c: a S clause
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	He 's been out three days now , and the warders watch every road and every station , but they ' ve had no sight of him yet .	entailment	c: a S clause
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	He 's been out three days now , and the warders watch every road and every station	entailment	c: a S clause
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	He 's been out three days now	entailment	c: a S clause
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	the warders watch every road and every station	entailment	c: a S clause
He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	they ' ve had no sight of him yet	entailment	c: a S clause
"The farmers about here do not like it , sir , and that 's a fact . """	The farmers about here like it	contradiction	a: within scope.
"The farmers about here do not like it , sir , and that 's a fact . """	"The farmers about here do like it , sir , and that 's a fact . """	contradiction	b: cue-removed
"The farmers about here do not like it , sir , and that 's a fact . """	The farmers about here do like it , sir	contradiction	b: cue-removed
"The farmers about here do not like it , sir , and that 's a fact . """	that 's a fact	entailment	c: a S clause
You see , it is not like any ordinary convict .	it is like some ordinary convict	contradiction	a: within scope.
You see , it is not like any ordinary convict .	You see , it is like some ordinary convict .	contradiction	b: cue-removed
You see , it is not like any ordinary convict .	You see	entailment	c: a S clause
Now and then we passed a moorland cottage , walled and roofed with stone , with no creeper to break its harsh outline .	creeper to break its harsh outline	contradiction	a: within scope.
Now and then we passed a moorland cottage , walled and roofed with stone , with no creeper to break its harsh outline .	Now and then we passed a moorland cottage , walled and roofed with stone , with creeper to break its harsh outline .	contradiction	b: cue-removed
""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	It 's wonder my uncle felt as if trouble were coming on him in such a place as this	contradiction	a: within scope.
""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	my uncle felt as if trouble were coming on him in such a place as this	contradiction	a: within scope.
""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	trouble were coming on him in such a place as this	contradiction	a: within scope.
""" It 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	"` ` It 's wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he ."	contradiction	b: cue-removed
