sent_1	sent_2	label	case	cue	common_cue
['There', 'was', 'nothing', 'for', 'it', ',', 'however', ',', 'but', 'im-', 'plicit', 'obedience', ';', 'so', 'we', 'bade', 'good-bye', 'to', 'our', 'rueful', 'friend', ',', 'and', 'a', 'couple', 'of', 'hours', 'a-', 'fterwards', 'we', 'were', 'at', 'the', 'station', 'of', 'Coombe', 'Tracey', 'and', 'had', 'dis-', 'patched', 'the', 'trap', 'upon', 'its', 'return', 'journey', '.']	[ ' There ' , ' was ' , ' for ' , ' it ' ,	entailment	c: a S clause	'nothing',	False
"['""', 'There', 'is', 'no', 'connection', '.', """"""]"	' There ' , ' is ' , ' connection ' ,	entailment	c: a S clause	'no',	False
['The', 'great', 'ordeal', 'was', 'in', 'front', 'of', 'us', ';', 'at', 'last', 'we', 'were', 'ab-', 'out', 'to', 'make', 'our', 'final', 'effort', ',', 'and', 'yet', 'Holmes', 'had', 'said', 'nothing', ',', 'and', 'I', 'could', 'only', 'surmise', 'what', 'his', 'course', 'of', 'a-', 'ction', 'would', 'be', '.']	' Holmes ' , ' had ' , ' said ' ,	entailment	c: a S clause	'nothing',	False
"['""', 'You', 'say', ',', 'Watson', ',', 'that', 'the', 'lady', 'is', 'not', 'there', '?', """""", 'Holmes', 'a-', 'sked', 'when', 'I', 'had', 'finished', 'my', 'report', '.']"	' the ' , ' lady ' , ' is ' , ' there ' ,	entailment	c: a S clause	'not',	False
"['""', 'Where', 'can', 'she', 'be', ',', 'then', ',', 'since', 'there', 'is', 'no', 'light', 'in', 'any', 'other', 'room', 'except', 'the', 'kitchen', '?', """"""]"	' there ' , ' is ' , ' light ' , ' in ' , ' any ' , ' other ' , ' room ' , ' except ' , ' the ' , ' kitchen ' ,	entailment	c: a S clause	'no',	False
"['""', 'Where', 'can', 'she', 'be', ',', 'then', ',', 'since', 'there', 'is', 'no', 'light', 'in', 'any', 'other', 'room', 'except', 'the', 'kitchen', '?', """"""]"	' be '	entailment	c: a S clause	'no',	False
"['""', 'I', 'can', 'not', 'think', 'where', 'she', 'is', '.', """"""]"	' I ' , ' can ' , ' think ' , ' where ' , ' she ' , ' is ' ,	entailment	c: a S clause	'not',	False
"['""', 'If', 'he', 'is', ""not"", 'out', 'in', 'a', 'quarter', 'of', 'an', 'hour', 'the', 'path', 'will', 'be', 'covered', '.']"	' he ' , ' is ' , ' out ' , ' in ' , ' a ' , ' quarter ' , ' of ' , ' an ' , ' hour ' ,	entailment	c: a S clause	"""not"","	False
"['""', 'We', 'dare', 'not', 'take', 'the', 'chance', 'of', 'his', 'being', 'overtaken', 'before', 'he', 'can', 'reach', 'us', '.']"	take '	entailment	c: a S clause	'not',	False
['Far', 'away', 'on', 'the', 'path', 'we', 'saw', 'Sir', 'Henry', 'looking', 'back', ',', 'his', 'face', 'white', 'in', 'the', 'moonlight', ',', 'his', 'hands', 'raised', 'in', 'horror', ',', 'glaring', 'help', '-lessly', 'at', 'the', 'frightful', 'thing', 'which', 'was', 'hunting', 'him', 'down', '.']	' hunting '	entailment	c: a S clause	'-lessly',	False
['If', 'the', 'earth', 'told', 'a', 'true', 'story', ',', 'then', 'Stapleton', 'never', 'reached', 'that', 'island', 'of', 'refuge', 'towards', 'which', 'he', 'struggled', 'through', 'the', 'fog', 'upon', 'that', 'last', 'night', '.']	he ' , ' struggled '	entailment	c: a S clause	'never',	False
