	premise	hypothesis	labels	preds	label	case
3473	No wonder the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track .	the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track	1	1	entailment	c: a S clause
3474	No wonder the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track .	our friend did	1	1	entailment	c: a S clause
3475	No wonder the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track .	we ourselves might have done	1	1	entailment	c: a S clause
3476	No wonder the poor devil of a convict ran and screamed , even as our friend did , and as we ourselves might have done , when he saw such a creature bounding through the darkness of the moor upon his track .	he saw such a creature bounding through the darkness of the moor upon his track	1	1	entailment	c: a S clause
3480	I said it in London , Watson , and I say it again now , that never yet have we helped to hunt down a more dangerous man than he who is lying yonder "he swept his long arm towards the huge mottled expanse of green-splotched bog which stretched away until it merged into the russet slopes of the moor .	I say it again now	1	1	entailment	c: a S clause
3481	I said it in London , Watson , and I say it again now , that never yet have we helped to hunt down a more dangerous man than he who is lying yonder "he swept his long arm towards the huge mottled expanse of green-splotched bog which stretched away until it merged into the russet slopes of the moor .	he swept his long arm towards the huge mottled expanse of green splotched bog which stretched away until it merged into the russet slopes of the moor	1	1	entailment	c: a S clause
3482	I said it in London , Watson , and I say it again now , that never yet have we helped to hunt down a more dangerous man than he who is lying yonder "he swept his long arm towards the huge mottled expanse of green-splotched bog which stretched away until it merged into the russet slopes of the moor .	it merged into the russet slopes of the moor	1	1	entailment	c: a S clause
16	No woman would ever send a reply-paid telegram .	woman would ever send a reply paid telegram	1	2	entailment	c: a S clause
68	" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was .	it was	1	2	entailment	c: a S clause
152	You do not meanyou do not mean that I am suspected ? "	I am suspected	1	2	entailment	c: a S clause
396	He is not particularly intelligentnot a man likely to be congenial to a quick-witted Latin .	He is a man likely to be congenial to a quick witted Latin	1	2	entailment	c: a S clause
456	" I have not all my facts yet , but I do not think there are any insuperable difficulties .	there are any insuperable difficulties	1	2	entailment	c: a S clause
596	This is not talk for a police-constable . "	This is talk for a police constable	1	2	entailment	c: a S clause
644	It was not black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	I know	1	2	entailment	c: a S clause
1470	But it was not the sight of her body , nor yet was it that of the body of Hugo Baskerville lying near her , which raised the hair upon the heads of these three dare-devil roysterers , but it was that , standing over Hugo , and plucking at his throat , there stood a foul thing , a great , black beast , shaped like a hound , yet larger than any hound that ever mortal eye has rested upon .	it was the sight of her body which raised the hair upon the heads of these three dare devil roysterers	1	2	entailment	c: a S clause
1521	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	I knew	1	2	entailment	c: a S clause
1579	" No doubt , but this was no sheep-dog . "	this was sheep dog	1	2	entailment	c: a S clause
1669	Watson here knows more about my methods than you do , but I fear that even he has not quite grasped the significance of this sentence . "	you do	1	2	entailment	c: a S clause
1720	" And also , " said Holmes , " that someone is not ill-disposed towards you , since they warn you of danger . "	someone is ill disposed towards you	1	2	entailment	c: a S clause
1732	There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . "	can prevent me from going to the home of my own people	1	2	entailment	c: a S clause
1824	I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had time	1	2	entailment	c: a S clause
1856	" Well , I 've had a good day and no mistake , " said the cabman with a grin .	I ' ve had mistake	1	2	entailment	c: a S clause
1889	But I 'm not easy in my mind about it . "	I ' m easy in my mind about it	1	2	entailment	c: a S clause
1945	He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	they ' ve had sight of him yet	1	2	entailment	c: a S clause
2121	I 've heard it once or twice before , but never quite so loud . "	I ' ve heard it quite so loud	1	2	entailment	c: a S clause
2225	If you meant no more than this when you first spoke to me , why should you not wish your brother to overhear what you said ?	your brother to overhear what you said	1	2	entailment	c: a S clause
2410	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it either if she could have stopped it	1	2	entailment	c: a S clause
2579	I do not think that I am a coward , Watson , but that sound seemed to freeze my very blood .	I am a coward , Watson	1	2	entailment	c: a S clause
2605	Do not think that it was a delusion , Holmes .	it was a delusion , Holmes	1	2	entailment	c: a S clause
2684	I 've never breathed a word about it yet to mortal man .	I ' ve breathed a word about it yet to mortal man	1	2	entailment	c: a S clause
2794	I 've not heard of him since I left out food for him last , and that was three days ago . "	I ' ve heard of him since I left out food for him last	1	2	entailment	c: a S clause
2828	A kind of gentleman he was , as far as he could see , but what he was doing he could not make out . "	he could see	1	2	entailment	c: a S clause
2858	Her dry lips could not speak the " No " which I saw rather than heard .	Her dry lips could speak the ` ` No " which I saw rather than heard	1	2	entailment	c: a S clause
2894	It was unlikely that she would dare to say that she had not been to Baskerville Hall if she really had been , for a trap would be necessary to take her there , and could not have returned to Coombe Tracey until the early hours of the morning .	she really had been	1	2	entailment	c: a S clause
3094	" It is not the baronetit iswhy , it is my neighbour , the convict ! "	it is	1	2	entailment	c: a S clause
3178	Again , there was no direct connection between the hound and the man 's death .	Again	1	2	entailment	c: a S clause
3208	There was no mark on any of them , as far as I know . "	I know	1	2	entailment	c: a S clause
3392	There was no light save in the dining-room , but Holmes caught up the lamp and left no corner of the house unexplored .	There was light save in the dining room	1	2	entailment	c: a S clause
4	He made no remark , but the matter remained in his thoughts , for he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message .	He made remark , but the matter remained in his thoughts , for he stood in front of the fire afterwards with a thoughtful face , smoking his pipe , and casting an occasional glance at the message .	2	1	contradiction	b: cue-removed
28	My mind is like a racing engine , tearing itself to pieces because it is not connected up with the work for which it was built .	it was built	2	1	contradiction	a: within scope.
40	" Never in my life have I been placed in such a situation .	` ` Never in my life have I been placed in such a situation .	2	1	contradiction	b: cue-removed
92	Private detectives are a class with whom I have absolutely no sympathy , but none the less , having heard your name"	Private detectives are a class with whom I have absolutely sympathy , but ne the less , having heard your name"	2	1	contradiction	b: cue-removed
100	But no one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . "	your disturbance dates from the moment of your waking	2	1	contradiction	a: within scope.
128	" I 'm sure it must look very bad , Mr. Holmes , and I am not aware that in my whole life such a thing has ever happened before .	such a thing has happened before	2	1	contradiction	a: within scope.
176	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	Now , sir , I suggest that you take tice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	2	1	contradiction	b: cue-removed
196	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you been interrupted . "	2	1	contradiction	b: cue-removed
204	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	you proceed with your narrative exactly as you would have done had you been interrupted	2	1	contradiction	b: cue-removed
208	Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . "	you would have done had you been interrupted	2	1	contradiction	b: cue-removed
216	The dinner itself was neither well served nor well cooked , and the gloomy presence of the taciturn servant did not help to enliven us .	The dinner itself was neither well served nor well cooked , and the gloomy presence of the taciturn servant did help to enliven us .	2	1	contradiction	b: cue-removed
228	He gave up all pretence at conversation and sat , smoking endless cigarettes , lost in his own thoughts , but he made no remark as to the contents .	He gave up all pretence at conversation and sat , smoking endless cigarettes , lost in his own thoughts , but he made remark as to the contents .	2	1	contradiction	b: cue-removed
300	" But I beg to point out that I have not yet heard what has happened to Mr. Garcia , nor what has become of his household . "	I have yet heard what has happened to Mr. Garcia	2	1	contradiction	a: within scope.
304	" But I beg to point out that I have not yet heard what has happened to Mr. Garcia , nor what has become of his household . "	` ` But I beg to point out that I have yet heard what has happened to Mr. Garcia , nor what has become of his household . "	2	1	contradiction	b: cue-removed
308	" But I beg to point out that I have not yet heard what has happened to Mr. Garcia , nor what has become of his household . "	I have yet heard what has happened to Mr. Garcia , nor what has become of his household	2	1	contradiction	b: cue-removed
312	" But I beg to point out that I have not yet heard what has happened to Mr. Garcia , nor what has become of his household . "	` ` But I beg to point out that I have not yet heard what has happened to Mr. Garcia , what has become of his household . "	2	1	contradiction	b: cue-removed
316	" But I beg to point out that I have not yet heard what has happened to Mr. Garcia , nor what has become of his household . "	I have not yet heard what has happened to Mr. Garcia , what has become of his household	2	1	contradiction	b: cue-removed
408	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really not more than twelve .	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really more than twelve .	2	1	contradiction	b: cue-removed
528	It is equally certain that this house can not be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock .	this house can be more than a mile or two from Oxshott , since Garcia was walking in that direction and hoped , according to my reading of the facts , to be back in Wisteria Lodge in time to avail himself of an alibi , which would only be valid up to one o'clock	2	1	contradiction	b: cue-removed
580	I do not know what made me look up , but there was a face looking in at me through the lower pane .	made me look up	2	1	contradiction	a: within scope.
584	I do not know what made me look up , but there was a face looking in at me through the lower pane .	me look up	2	1	contradiction	a: within scope.
636	It was not black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	It was not black , sir , was it white , any colour that I know but a kind of queer shade like clay with a splash of milk in it .	2	1	contradiction	b: cue-removed
648	It was not black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	It was not black , sir , was it white , some colour that I know but a kind of queer shade like clay with a splash of milk in it .	2	1	contradiction	b: cue-removed
656	It was not black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	It was black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .	2	1	contradiction	b: cue-removed
668	I tell you , sir , I could not move a finger , nor get my breath , till it whisked away and was gone .	I tell you , sir , I could not move a finger , get my breath , till it whisked away and was gone .	2	1	contradiction	b: cue-removed
672	I tell you , sir , I could not move a finger , nor get my breath , till it whisked away and was gone .	I could not move a finger , get my breath , till it whisked away and was gone	2	1	contradiction	b: cue-removed
684	I tell you , sir , I could not move a finger , nor get my breath , till it whisked away and was gone .	I tell you , sir , I could move a finger , nor get my breath , till it whisked away and was gone .	2	1	contradiction	b: cue-removed
708	" If I did not know you were a good man , Walters , I should put a black mark against you for this .	you were a good man	2	1	contradiction	a: within scope.
712	" If I did not know you were a good man , Walters , I should put a black mark against you for this .	` ` If I did know you were a good man , Walters , I should put a black mark against you for this .	2	1	contradiction	b: cue-removed
720	If it were the devil himself a constable on duty should never thank God that he could not lay his hands upon him .	he could not lay his hands upon him	2	1	contradiction	a: within scope.
736	If it were the devil himself a constable on duty should never thank God that he could not lay his hands upon him .	If it were the devil himself a constable on duty should never thank God that he could lay his hands upon him .	2	1	contradiction	b: cue-removed
792	He said little about the case , but from that little we gathered that he also was not dissatisfied at the course of events .	He said little about the case , but from that little we gathered that he also was dissatisfied at the course of events .	2	1	contradiction	b: cue-removed
816	" You do not mean that Baynes has got him ? "	Baynes has got him	2	1	contradiction	a: within scope.
820	It was suggested , but never proved , that the deceased gentleman may have had valuables in the house , and that their abstraction was the motive of the crime .	It was proved that the deceased gentleman may have had valuables in the house and that their abstraction was the motive of the crime	2	1	contradiction	a: within scope.
824	It was suggested , but never proved , that the deceased gentleman may have had valuables in the house , and that their abstraction was the motive of the crime .	the deceased gentleman may have had valuables in the house	2	1	contradiction	a: within scope.
828	It was suggested , but never proved , that the deceased gentleman may have had valuables in the house , and that their abstraction was the motive of the crime .	their abstraction was the motive of the crime	2	1	contradiction	a: within scope.
840	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives , and he had good reason to believe that they had not gone far but were lurking in some retreat which had been already prepared .	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives , and he had good reason to believe that they had gone far but were lurking in some retreat which had been already prepared .	2	1	contradiction	b: cue-removed
848	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives , and he had good reason to believe that they had not gone far but were lurking in some retreat which had been already prepared .	he had good reason to believe that they had gone far but were lurking in some retreat which had been already prepared	2	1	contradiction	b: cue-removed
852	Every effort was made by Inspector Baynes , who has the case in hand , to ascertain the hiding place of the fugitives , and he had good reason to believe that they had not gone far but were lurking in some retreat which had been already prepared .	they had gone far but were lurking in some retreat which had been already prepared	2	1	contradiction	b: cue-removed
856	Pray do not think it a liberty if I give you a word of friendly warning . "	I give you a word of friendly warning	2	1	contradiction	a: within scope.
956	But the attempt was a dangerous one , and if Garcia did not return by a certain hour it was probable that his own life had been sacrificed .	But the attempt was a dangerous one , and if Garcia did return by a certain hour it was probable that his own life had been sacrificed .	2	1	contradiction	b: cue-removed
968	But the attempt was a dangerous one , and if Garcia did not return by a certain hour it was probable that his own life had been sacrificed .	if Garcia did return by a certain hour it was probable that his own life had been sacrificed	2	1	contradiction	b: cue-removed
992	" We can imagine that in the confusion of flight something precious , something which he could not bear to part with , had been left behind .	` ` We can imagine that in the confusion of flight something precious , something which he could bear to part with , had been left behind .	2	1	contradiction	b: cue-removed
996	" We can imagine that in the confusion of flight something precious , something which he could not bear to part with , had been left behind .	in the confusion of flight something precious , something which he could bear to part with , had been left behind	2	1	contradiction	b: cue-removed
1120	But it was not destined that our investigation should have so adventurous an ending .	our investigation should have so adventurous an ending	2	1	contradiction	a: within scope.
1144	I sha not forget the face at the carriage window as I led her away .	I led her away	2	1	contradiction	a: within scope.
1152	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	he thought he was in some danger	2	1	contradiction	a: within scope.
1156	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	he was in some danger	2	1	contradiction	a: within scope.
1160	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	` ` I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make move so long as he thought he was in some danger .	2	1	contradiction	b: cue-removed
1164	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make move so long as he thought he was in some danger	2	1	contradiction	b: cue-removed
1176	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	he would lie low and make move so long as he thought he was in some danger	2	1	contradiction	b: cue-removed
1200	" I join in it because there is no other way in the world by which justice can be gained .	justice can be gained	2	1	contradiction	a: within scope.
1228	But the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would not let the matter rest .	he had ruined	2	1	contradiction	a: within scope.
1236	They banded themselves into a society which should never be dissolved until the work was done .	the work was done	2	1	contradiction	a: within scope.
1248	He could do little during the day , for Murillo took every precaution and never went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	he was known in the days of his greatness	2	1	contradiction	a: within scope.
1252	He could do little during the day , for Murillo took every precaution and never went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	He could do little during the day , for Murillo took every precaution and went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	2	1	contradiction	b: cue-removed
1264	How they murdered him I do not know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	they murdered him	2	1	contradiction	a: within scope.
1272	How they murdered him I do not know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	it was Murillo 's hand who struck him down	2	1	contradiction	a: within scope.
1276	" All would now have been well for them had it not been for my knowledge of what they had done .	they had done	2	1	contradiction	a: within scope.
1280	" All would now have been well for them had it not been for my knowledge of what they had done .	` ` All would now have been well for them had it been for my knowledge of what they had done .	2	1	contradiction	b: cue-removed
1300	I have no doubt that there were times when my life hung in the balance .	there were times when my life hung in the balance	2	1	contradiction	a: within scope.
1304	I have no doubt that there were times when my life hung in the balance .	my life hung in the balance	2	1	contradiction	a: within scope.
1308	I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should never had broken away .	I sprang out , they tried to drag me back , and had it been for the help of this good man , who led me to the cab , I should never had broken away .	2	1	contradiction	b: cue-removed
1372	We could not doubt that justice , if belated , had come at last .	justice , if belated , had come at last	2	1	contradiction	a: within scope.
1396	Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not infrequent occasions when he was up all night , was seated at the breakfast table .	he was up all night	2	1	contradiction	a: within scope.
1397	Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not infrequent occasions when he was up all night , was seated at the breakfast table .	Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those infrequent occasions when he was up all night , was seated at the breakfast table .	2	1	contradiction	b: cue-removed
1402	Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	Since we have been so unfortunate as to miss him and have tion of his errand , this accidental souvenir becomes of importance .	2	1	contradiction	b: cue-removed
1405	It may be that you are not yourself luminous , but you are a conductor of light .	It may be that you are yourself luminous , but you are a conductor of light .	2	1	contradiction	b: cue-removed
1409	He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	He had said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	2	1	contradiction	b: cue-removed
1421	If he was in the hospital and yet not on the staff he could only have been a house-surgeon or a house-physicianlittle more than a senior student .	If he was in the hospital and yet on the staff he could only have been a house surgeon or a house physicianlittle more than a senior student .	2	1	contradiction	b: cue-removed
1425	" As to the latter part , I have no means of checking you , " said I , " but at least it is not difficult to find out a few particulars about the man 's age and professional career . "	` ` As to the latter part , I have means of checking you , " said I , ` ` but at least it is t difficult to find out a few particulars about the man 's age and professional career . "	2	1	contradiction	b: cue-removed
1441	" I was not sure whether I had left it here or in the Shipping Office .	I had left it here or in the Shipping Office	2	1	contradiction	a: within scope.
1452	" I presume , sir , " said he at last , " that it was not merely for the purpose of examining my skull that you have done me the honour to call here last night and again today ? "	it was merely for the purpose of examining my skull that you have done me the honour to call here last night and again today	2	1	contradiction	a: within scope.
1453	" I presume , sir , " said he at last , " that it was not merely for the purpose of examining my skull that you have done me the honour to call here last night and again today ? "	you have done me the honour to call here last night and again today	2	1	contradiction	a: within scope.
1454	" I presume , sir , " said he at last , " that it was not merely for the purpose of examining my skull that you have done me the honour to call here last night and again today ? "	` ` I presume , sir , " said he at last , ` ` that it was merely for the purpose of examining my skull that you have done me the honour to call here last night and again today ? "	2	1	contradiction	b: cue-removed
1459	And I would have you believe , my sons , that the same Justice which punishes sin may also most graciously forgive it , and that no ban is so heavy but that by prayer and repentance it may be removed .	And I would have you believe , my sons , that the same Justice which punishes sin may also most graciously forgive it , and that ban is so heavy but that by prayer and repentance it may be removed .	2	1	contradiction	b: cue-removed
1462	Learn then from this story not to fear the fruits of the past , but rather to be circumspect in the future , that those foul passions whereby our family has suffered so grievously may not again be loosed to our undoing .	Learn then from this story to fear the fruits of the past , but rather to be circumspect in the future , that those foul passions whereby our family has suffered so grievously may again be loosed to our undoing .	2	1	contradiction	b: cue-removed
1464	" Know then that in the time of the Great Rebellion ( the history of which by the learned Lord Clarendon I most earnestly commend to your attention ) this Manor of Baskerville was held by Hugo of that name , nor can it be gainsaid that he was a most wild , profane , and godless man .	he was a most wild , profane , and godless man	2	1	contradiction	a: within scope.
1467	This , in truth , his neighbours might have pardoned , seeing that saints have never flourished in those parts , but there was in him a certain wanton and cruel humour which made his name a by-word through the West .	This , in truth , his neighbours might have pardoned , seeing that saints have flourished in those parts , but there was in him a certain wanton and cruel humour which made his name a by word through the West .	2	1	contradiction	b: cue-removed
1476	Nor can it be denied that many of the family have been unhappy in their deaths , which have been sudden , bloody , and mysterious .	many of the family have been unhappy in their deaths , which have been sudden , bloody , and mysterious	2	1	contradiction	a: within scope.
1490	There is no reason whatever to suspect foul play , or to imagine that death could be from any but natural causes .	death could be from some but natural causes	2	1	contradiction	a: within scope.
1499	One Murphy , a gipsy horse-dealer , was on the moor at no great distance at the time , but he appears by his own confession to have been the worse for drink .	One Murphy , a gipsy horse dealer , was on the moor at great distance at the time , but he appears by his own confession to have been the worse for drink .	2	1	contradiction	b: cue-removed
1503	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is t unusual in cases of dyspea and death from cardiac exhaustion .	2	1	contradiction	b: cue-removed
1504	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	No signs of violence were to be discovered upon Sir Charles 's person	2	1	contradiction	b: cue-removed
1510	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is unusual in cases of dyspnoea and death from cardiac exhaustion .	2	1	contradiction	b: cue-removed
1511	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is unusual in cases of dyspnoea and death from cardiac exhaustion	2	1	contradiction	b: cue-removed
1513	Had the prosaic finding of the coroner not finally put an end to the romantic stories which have been whispered in connection with the affair , it might have been difficult to find a tenant for Baskerville Hall .	Had the prosaic finding of the coroner finally put an end to the romantic stories which have been whispered in connection with the affair , it might have been difficult to find a tenant for Baskerville Hall .	2	1	contradiction	b: cue-removed
1519	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	For both these reasons I thought that I was justified in telling rather less than I knew , since practical good could result from it , but with you there is reason why I should t be perfectly frank .	2	1	contradiction	b: cue-removed
1529	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should be perfectly frank .	2	1	contradiction	b: cue-removed
1530	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	with you there is no reason why I should be perfectly frank	2	1	contradiction	b: cue-removed
1536	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	he was able to give of his ancestors	2	1	contradiction	a: within scope.
1543	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had justification .	2	1	contradiction	b: cue-removed
1546	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	I was convinced at the time that the matter was entirely trivial and that his excitement had justification	2	1	contradiction	b: cue-removed
1549	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I followed the footsteps down the yew alley , I saw the spot at the moor gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I ted that there were other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had t been touched until my arrival .	2	1	contradiction	b: cue-removed
1552	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I remarked the change in the shape of the prints after that point , I ted that there were other footsteps save those of Barrymore on the soft gravel	2	1	contradiction	b: cue-removed
1556	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I followed the footsteps down the yew alley , I saw the spot at the moor gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I ed that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had been touched until my arrival .	2	1	contradiction	b: cue-removed
1585	" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? "	` ` Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and on the grass ? "	2	1	contradiction	b: cue-removed
1589	" No marks could show on the grass . "	` ` No marks could show on the grass . "	2	1	contradiction	b: cue-removed
1600	" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so .	I have already given my reasons for wishing to do so	2	1	contradiction	b: cue-removed
1605	" I find that before the terrible event occurred several people had seen a creature upon the moor which corresponds with this Baskerville demon , and which could not possibly be any animal known to science .	` ` I find that before the terrible event occurred several people had seen a creature upon the moor which corresponds with this Baskerville demon , and which could possibly be some animal known to science .	2	1	contradiction	b: cue-removed
1606	" I find that before the terrible event occurred several people had seen a creature upon the moor which corresponds with this Baskerville demon , and which could not possibly be any animal known to science .	before the terrible event occurred several people had seen a creature upon the moor which corresponds with this Baskerville demon , and which could possibly be some animal known to science	2	1	contradiction	b: cue-removed
1617	" I did not say that I desired you to do it . "	you to do it	2	1	contradiction	a: within scope.
1619	I speak now not as a medical man but as a trustee and executor of Sir Charles 's will . "	I speak now as a medical man but as a trustee and executor of Sir Charles 's will . "	2	1	contradiction	b: cue-removed
1623	And yet it can not be denied that the prosperity of the whole poor , bleak countryside depends upon his presence .	the prosperity of the whole poor , bleak countryside depends upon his presence	2	1	contradiction	a: within scope.
1626	All the good work which has been done by Sir Charles will crash to the ground if there is no tenant of the Hall .	All the good work which has been done by Sir Charles will crash to the ground if there is tenant of the Hall .	2	1	contradiction	b: cue-removed
1642	I think we 'll shut that window again , if you do not mind .	you do mind	2	1	contradiction	a: within scope.
1643	I think we 'll shut that window again , if you do not mind .	I think we 'll shut that window again , if you do mind .	2	1	contradiction	b: cue-removed
1644	I think we 'll shut that window again , if you do not mind .	we 'll shut that window again , if you do mind	2	1	contradiction	b: cue-removed
