sent_1	sent_2	label	case	cue	common_cue	lexical_overlap	method	negated_scope	negation_scope
While Voldemort has these Horcruxes , nobody can kill him .	While Voldemort has these Horcruxes , can kill him .	contradiction	b: cue-removed	nobody	False	True	nep	True	
On the other hand , if I should find the hut and its tenant should not be within it I must remain there , however long the vigil , until he returned .	he returned	entailment	c: a S clause	not	True	True	nep	False	
There is nothing so deceptive as the distance of a light upon a pitch-dark night , and sometimes the glimmer seemed to be far away upon the horizon and sometimes it might have been within a few yards of us .	There is nothing so deceptive as the distance of a light upon a pitch dark night	entailment	c: a S clause	nothing	False	True	nep	False	
It might not even now be too late to overtake him , so I set off at once in the direction of Merripit House .	It might even now be too late to overtake him , so I set off at once in the direction of Merripit House .	contradiction	b: cue-removed	not	True	True	nep	True	
It does not matter to them , because they swallow the fish whole , without chewing .	It does matter to them , because they swallow the fish whole , without chewing	contradiction	a: within scope.	not	True	True	nep	True	
Money 's not everything .	Money 's everything .	contradiction	b: cue-removed	not	True	True	nep	True	
It does not have a solid shape .	It does have a solid shape	contradiction	a: within scope.	not	True	True	nep	True	
He could do little during the day , for Murillo took every precaution and never went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	Murillo went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	contradiction	a: within scope.	never	True	True	nep	True	
I am not a child .	I am a child	contradiction	a: within scope.	not	True	True	nep	True	
This is where particles and waves were neither one nor the other , but had certain properties of both .	This is where particles and waves were neither one nor the other , but had certain properties of both .	contradiction	b: cue-removed	neither-nor	False	True	nep	True	
""" There is nothing here , "" said he ."	There is here	contradiction	a: within scope.	nothing	False	True	nep	True	
Ginger beer is a non-alcoholic soft drink that is also flavored with ginger root .	Ginger beer is aalcoholic soft drink that is also flavored with ginger root .	contradiction	b: cue-removed	non-	False	True	nep	True	
""" No doubt , but this was no sheep-dog . """	this was no sheep dog	entailment	c: a S clause	no	True	True	nep	False	
I have already explained that the testimony of the postmaster shows that the test was worthless and that we have no proof one way or the other .	the test was worth	contradiction	a: within scope.	-less	False	True	nep	True	
"We have never gone out without keeping a sharp watch , and no one could have escaped our notice . """	"We have never gone out without keeping a sharp watch , and one could have escaped our tice . """	contradiction	b: cue-removed	no	True	True	nep	True	
"But I shall be very much surprised if it is not clear enough before we go to bed this night . """	we go to bed this night	contradiction	a: within scope.	not	True	True	nep	True	
It had not crossed my mind however , that he would wish me to go with him , nor could I understand how we could both be absent at a moment which he himself declared to be critical .	he would wish me to go with him	contradiction	a: within scope.	not	True	True	nep	True	
"But the practical point which we now have to decide , Sir Henry , is whether it is or is not advisable for you to go to Baskerville Hall . """	it is advisable for you to go to Baskerville Hall	contradiction	a: within scope.	not	True	True	nep	True	
It is incredible , impossible , that it should really be outside the ordinary laws of nature .	it should really be outside the ordinary laws of nature	contradiction	a: within scope.	im-	False	True	nep	True	
I have no doubt that my friend 's explanation will cover the facts .	I have doubt that my friend 's explanation will cover the facts .	contradiction	b: cue-removed	no	True	True	nep	True	
In 1882 , Ferdinand von Lindenmann proved that this is impossible because it is impossible to calculate ù exactly , which is a transcendental number .	it is impossible to calculate ù exactly , which is a transcendental number	entailment	c: a S clause	im-	False	True	nep	False	
""" I did not positively say so . """	I did positively say so	contradiction	a: within scope.	not	True	True	nep	True	
"We 're not likely to forget him . """	"We 're likely to forget him . """	contradiction	b: cue-removed	not	True	True	nep	True	
"Please arrange your thoughts and let me know , in their due sequence , exactly what those events are which have sent you out unbrushed and unkempt , with dress boots and waistcoat buttoned awry , in search of advice and assistance . """	those events are	entailment	c: a S clause	un-	False	True	nep	False	
""" I do not see how that is to be managed , unless you break in the door ."	that is to be managed	contradiction	a: within scope.	not	True	True	nep	True	
Apparently the tenants had brought little or nothing with them , and all the furniture down to the smallest details had been taken over with the house .	the tenants had brought with them	contradiction	a: within scope.	nothing	False	True	nep	True	
"One thing I swear to you , and that is that when I wrote the letter I never dreamed of any harm to the old gentleman , who had been my kindest friend . """	when I wrote the letter I dreamed of some harm to the old gentleman , who had been my kindest friend	contradiction	b: cue-removed	never	True	True	nep	True	
It is indorsed ` Mr. and Mrs. Vandeleur , ' but you will have no difficulty in recognizing him , and her also , if you know her by sight .	you will have difficulty in recognizing him , and her also , if you know her by sight	contradiction	a: within scope.	no	True	True	nep	True	
After the HIV in a person has MDR-HIV there may be no more medicines to treat them .	After the HIV in a person has MDR HIV there may be more medicines to treat them .	contradiction	b: cue-removed	no	True	True	nep	True	
Mary Shelley Template codice_1 has been incorrectly substituted .	Mary Shelley Template codice_1 has been correctly substituted .	contradiction	b: cue-removed	in-	False	True	nep	True	
He jumped up when he heard my business , and I had my whistle to my lips to call a couple of river police , who were round the corner , but he seemed to have no heart in him , and he held out his hands quietly enough for the darbies .	he held out his hands quietly enough for the darbies	entailment	c: a S clause	no	True	True	nep	False	
I had come into the parlour unexpected , and as I walked in at the door I saw a light of welcome on my wife 's face .	as I walked in at the door I saw a light of welcome on my wife 's face	entailment	c: a S clause	un-	False	True	nep	False	
""" But that is the very thing which you have so often cautioned me not to do . """	me not to do	entailment	c: a S clause	not	True	True	nep	False	
He took particular care that Sir Henry did not make love to her , as you have yourself observed .	Sir Henry did make love to her	contradiction	a: within scope.	not	True	True	nep	True	
No sign could we see of the man whom we were chasing .	No sign could we see of the man whom we were chasing .	contradiction	b: cue-removed	no	True	True	nep	True	
"But no one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	"But one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	contradiction	b: cue-removed	no	True	True	nep	True	
This is never caused by many things .	This is caused by many things	contradiction	a: within scope.	never	True	True	nep	True	
An unsuccessful lover might have killed Mr. and Mrs. Browner , and the male ear might have belonged to the husband .	An successful lover might have killed Mr. and Mrs. Browner , and the male ear might have belonged to the husband .	contradiction	b: cue-removed	un-	False	True	nep	True	
Do not ask me for particulars .	Do ask me for particulars .	contradiction	b: cue-removed	not	True	True	nep	True	
It has never a solid shape .	It has a solid shape	contradiction	a: within scope.	never	True	True	nep	True	
Only a few weeks ago she was cleaning out Sir Charles 's studyit had never been touched since his deathand she found the ashes of a burned letter in the back of the grate .	she found the ashe s of a burned letter in the back of the grate	entailment	c: a S clause	never	True	True	nep	False	
""" No , sir , I do not know that . """	"` ` No , sir , I do know that . """	contradiction	b: cue-removed	not	True	True	nep	True	
General relativity provides of a set of ten nonlinear partial differential equations for the spacetime metric ( Einstein 's field equations ) that must be solved from the distribution of mass-energy and momentum throughout the Universe .	General relativity provides of a set of ten linear partial differential equations for the spacetime metric Einstein 's field equations that must be solved from the distribution of mass energy and momentum throughout the Universe .	contradiction	b: cue-removed	non-	False	True	nep	True	
Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	you showed in me	entailment	c: a S clause	not	True	True	nep	False	
Some ghosts might not cause fear .	Some ghosts might cause fear	contradiction	a: within scope.	not	True	True	nep	True	
"Stapleton would not let it go unless he had reason to think that Sir Henry would be there . """	"Stapleton would let it go unless he had reason to think that Sir Henry would be there . """	contradiction	b: cue-removed	not	True	True	nep	True	
"There 's three folk come out since he went in , but I 'll swear he was not one of them . """	There 's three folk come out since he went in	entailment	c: a S clause	not	True	True	nep	False	
"It means no good to anyone of the name of Baskerville , and very glad I shall be to be quit of it all on the day that Sir Henry 's new servants are ready to take over the Hall . """	Sir Henry 's new servants are ready to take over the Hall	entailment	c: a S clause	no	True	True	nep	False	
""" At the same time , "" said Baskerville , "" it 's clear enough that so long as there are none of the family at the Hall these people have a mighty fine home and nothing to do . """	these people have to do	contradiction	a: within scope.	nothing	False	True	nep	True	
"I trust , sir , that I have not inadvertently"""	I have inadvertently	contradiction	a: within scope.	not	True	True	nep	True	
Because it is not considered to belong to any country at the moment , the city has no embassies .	Because it is considered to belong to some country at the moment , the city has no embassies .	contradiction	b: cue-removed	not	True	True	nep	True	
I was a fool to let her go on biding with usa besotted foolbut I never said a word to Mary , for I knew it would grieve her .	I was a fool to let her go on biding with usa besotted fool-	entailment	c: a S clause	never	True	True	nep	False	
The old house with its atmosphere of murder , the singular and formidable inhabitants , the unknown dangers of the approach , and the fact that we were putting ourselves legally in a false position all combined to damp my ardour .	The old house with its atmosphere of murder , the singular and formidable inhabitants , the known dangers of the approach , and the fact that we were putting ourselves legally in a false position all combined to damp my ardour .	contradiction	b: cue-removed	un-	False	True	nep	True	
Sir Henry lay insensible where he had fallen .	Sir Henry lay sensible where he had fallen	contradiction	a: within scope.	in-	False	True	nep	True	
I could not doubt that this was the Miss Stapleton of whom I had been told , since ladies of any sort must be few upon the moor , and I remembered that I had heard someone describe her as being a beauty .	this was the Miss Stapleton of whom I had been told	contradiction	a: within scope.	not	True	True	nep	True	
I 've had no time , for it was only yesterday that I learned how matters stood .	I ' ve had no time	entailment	c: a S clause	no	True	True	nep	False	
The noise could not have been far away and was certainly in the house .	The noise could have been far away and was certainly in the house .	contradiction	b: cue-removed	not	True	True	nep	True	
They were not pacifists .	They were pacifists .	contradiction	b: cue-removed	not	True	True	nep	True	
I had not quite understood until that instant how delicate my mission was .	my mission was	contradiction	a: within scope.	not	True	True	nep	True	
""" He may find his way in , but never out , "" she cried ."	"` ` He may find his way in , but out , "" she cried ."	contradiction	b: cue-removed	never	True	True	nep	True	
"I suppose the whole thing is not a vision and a touch of nerves ? """	"I suppose the whole thing is a vision and a touch of nerves ? """	contradiction	b: cue-removed	not	True	True	nep	True	
These fishes are never thin .	These fishes are thin	contradiction	a: within scope.	never	True	True	nep	True	
Ginger beer is a non-alcoholic soft drink that is also flavored with ginger root .	Ginger beer is aalcoholic soft drink that is also flavored with ginger root	contradiction	a: within scope.	non-	False	True	nep	True	
If he would confine his energies to this all would be well , but there are rumours that he intends to prosecute Dr. Mortimer for opening a grave without the consent of the next of kin because he dug up the Neolithic skull in the barrow on Long Down .	If he would confine his energies to this all would be well , but there are rumours that he intends to prosecute Dr. Mortimer for opening a grave the consent of the next of kin because he dug up the Neolithic skull in the barrow on Long Down .	contradiction	b: cue-removed	without	False	True	nep	True	
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	Stapleton would hear of it	contradiction	a: within scope.	not	True	True	nep	True	
That was in yesterday 's paper , and there is nothing in to-day 's .	That was in yesterday 's paper	entailment	c: a S clause	nothing	False	True	nep	False	
The oaths and secrets of this brotherhood were frightful , but once within its rule no escape was possible .	The oaths and secrets of this brotherhood were frightful , but once within its rule escape was possible .	contradiction	b: cue-removed	no	True	True	nep	True	
I am no antiquarian , but I could imagine that they were some unwarlike and harried race who were forced to accept that which none other would occupy .	I am no antiquarian , but I could imagine that they were some warlike and harried race who were forced to accept that which none other would occupy .	contradiction	b: cue-removed	un-	False	True	nep	True	
The attack upon Mr. Warren further shows that the enemy , whoever they are , are themselves not aware of the substitution of the female lodger for the male .	The attack upon Mr. Warren further shows that the enemy , whoever they are , are themselves aware of the substitution of the female lodger for the male .	contradiction	b: cue-removed	not	True	True	nep	True	
So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	he could loiter behind or dash past them and so escape their notice	entailment	c: a S clause	not	True	True	nep	False	
""" Never in my life have I been placed in such a situation ."	` ` Never in my life have I been placed in such a situation .	contradiction	b: cue-removed	never	True	True	nep	True	
He took particular care that Sir Henry did not make love to her , as you have yourself observed .	He took particular care that Sir Henry did make love to her , as you have yourself observed .	contradiction	b: cue-removed	not	True	True	nep	True	
""" I can not say anything definite , for I do not know anything definite . """	for I do know anything definite	contradiction	b: cue-removed	not	True	True	nep	True	
The composer Arnold Schoenberg ( 1874-1951 ) wrote pieces which were atonal ( meaning that they did not sound as if they were in any clear musical key ) .	The composer Arnold Schoenberg 1874 1951 wrote pieces which were atonal meaning that they did sound as if they were in some clear musical key .	contradiction	b: cue-removed	not	True	True	nep	True	
""" I have not all my facts yet , but I do not think there are any insuperable difficulties ."	` I have all my facts yet	contradiction	b: cue-removed	not	True	True	nep	True	
For God 's sake , sir , I beg of you not to let the police know that he is still on the moor .	the police know that he is still on the moor	contradiction	a: within scope.	not	True	True	nep	True	
As it was I told him that my feelings towards his sister were such as I was not ashamed of , and that I hoped that she might honour me by becoming my wife .	I was ashamed of	contradiction	a: within scope.	not	True	True	nep	True	
""" I can not explain . """	"` ` I can explain . """	contradiction	b: cue-removed	not	True	True	nep	True	
Today , many people related to those slaves still live in America , though they are no longer slaves .	Today , many people related to those slaves still live in America , though they are no longer slaves .	contradiction	b: cue-removed	no-longer	False	True	nep	True	
There was no chance of finding footsteps in the mire , for the rising mud oozed swiftly in upon them , but as we at last reached firmer ground beyond the morass we all looked eagerly for them .	There was chance of finding footsteps in the mire	contradiction	a: within scope.	no	True	True	nep	True	
Mr. Gregson and I ran him to ground in that big tenement house , and there 's only one door , so he can not slip us .	he can slip us	contradiction	a: within scope.	not	True	True	nep	True	
How they murdered him I do not know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	they murdered him	contradiction	a: within scope.	not	True	True	nep	True	
And the man , as the story goes , was so crazed with fear that he could scarce speak , but at last he said that he had indeed seen the unhappy maiden , with the hounds upon her track .	he could scarce speak	entailment	c: a S clause	un-	False	True	nep	False	
He has been very attentive to us , and hardly a day has passed that he has not called at the Hall to see how we were getting on .	he has called at the Hall to see how we were getting on	contradiction	a: within scope.	not	True	True	nep	True	
It is asking much of a wealthy man to come down and bury himself in a place of this kind , but I need not tell you that it means a very great deal to the countryside .	it means a very great deal to the countryside	contradiction	a: within scope.	not	True	True	nep	True	
There was no answer .	There was answer	contradiction	a: within scope.	no	True	True	nep	True	
"That is the whole truth , as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me , for whose sake he has done all that he has . """	there is blame in the matter	entailment	c: a S clause	not	True	True	nep	False	
""" ` I tell you , and I give you my word for it , that from that moment I was not my own master , and it is all like a dim dream when I look back on it ."	I give you my word for it	entailment	c: a S clause	not	True	True	nep	False	
We may take it , therefore , that the letter was composed by an educated man who wished to pose as an uneducated one , and his effort to conceal his own writing suggests that that writing might be known , or come to be known , by you .	the letter was composed by an educated man who wished to pose as an educated one	contradiction	b: cue-removed	un-	False	True	nep	True	
Some breads are not fried .	Some breads are fried .	contradiction	b: cue-removed	not	True	True	nep	True	
""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	` I can t forget the look in his eyes when he ran at me this morning , but I must allow that man could make a more handsome apology than he has done	contradiction	b: cue-removed	no	True	True	nep	True	
This can not be made longer .	This can be made longer .	contradiction	b: cue-removed	not	True	True	nep	True	
"You saw yourself how neither of the inspectors dreamed of questioning his statement , extraordinary as it was . """	it was	entailment	c: a S clause	neither	False	True	nep	False	
""" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? """	this is important	entailment	c: a S clause	not	True	True	nep	False	
He did not observe any .	He did observe some	contradiction	a: within scope.	not	True	True	nep	True	
I could not doubt that this was the Miss Stapleton of whom I had been told , since ladies of any sort must be few upon the moor , and I remembered that I had heard someone describe her as being a beauty .	ladies of any sort must be few upon the moor	entailment	c: a S clause	not	True	True	nep	False	
""" The circumstances connected with the death of Sir Charles can not be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise ."	` ` The circumstances connected with the death of Sir Charles can be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	contradiction	b: cue-removed	not	True	True	nep	True	
The thought was in my head as I turned into my own street , and at that moment a cab passed me , and there she was , sitting by the side of Fairbairn , the two chatting and laughing , with never a thought for me as I stood watching them from the footpath .	The thought was in my head as I turned into my own street , and at that moment a cab passed me , and there she was , sitting by the side of Fairbairn , the two chatting and laughing , with a thought for me as I stood watching them from the footpath .	contradiction	b: cue-removed	never	True	True	nep	True	
"There were reasons why I could not get there earlier . """	I could get there earlier	contradiction	a: within scope.	not	True	True	nep	True	
He said little about the case , but from that little we gathered that he also was not dissatisfied at the course of events .	He said little about the case	entailment	c: a S clause	not	True	True	nep	False	
Most summers are never very hot .	Most summers are very hot	contradiction	a: within scope.	never	True	True	nep	True	
""" And as you value your life do not go across the moor in any direction save along the straight path which leads from Merripit House to the Grimpen Road , and is your natural way home . """	you value your life	entailment	c: a S clause	not	True	True	nep	False	
That has never been proven and there is no evidence Saddam ever had any ties .	Saddam ever had any ties	entailment	c: a S clause	never	True	True	nep	False	
It seemed hopeless to pursue the inquiry any farther , but it was clear that in spite of Holmes 's ruse we had no proof that Barrymore had not been in London all the time .	in spite of Holmes 's ruse we had proof that Barrymore had t been in London all the time	contradiction	b: cue-removed	no	True	True	nep	True	
It will never result in a little fever .	It will result in a little fever .	contradiction	b: cue-removed	never	True	True	nep	True	
"Small solar system body A small solar system body ( SSSB ) is a term defined in 2006 by the International Astronomical Union to describe solar system objects which are neither planets , nor dwarf planets : Therefore it refers to these objects that can be further grouped based on their orbit or what they are made of : Some of the larger "" small solar system bodies "" may be reclassified in future as dwarf planets , pending further examination to determine whether or not they are in hydrostatic equilibrium ( nearly-round shape ) ."	Small solar system body A small solar system body SSSB is a term defined in 2006 by the International Astronomical Union to describe solar system objects which are neither planets , nor dwarf planets : Therefore it refers to these objects that can be further grouped based on their orbit or what they are made of	contradiction	b: cue-removed	neither-nor	False	True	nep	True	
""" I have no doubt , sir , that we shall succeed in establishing ourselves in some business ."	we shall succeed in establishing ourselves in some business	contradiction	a: within scope.	no	True	True	nep	True	
I was well aware that you could not do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	I was well aware that you could do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	contradiction	b: cue-removed	not	True	True	nep	True	
"When he arrives he will be met by the obtuse but resolute Lestrade , and I have no doubt that we shall have all our details filled in . """	When he arrives he will be met by the obtuse but resolute Lestrade	entailment	c: a S clause	no	True	True	nep	False	
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it either if she could have stopped it	entailment	c: a S clause	not	True	True	nep	False	
If he had not been her brother I should have known better how to answer him .	he had been her brother	contradiction	a: within scope.	not	True	True	nep	True	
Her eyes blazed at me , and she tapped the ground impatiently with her foot .	Her eyes blazed at me	entailment	c: a S clause	im-	False	True	nep	False	
""" Sir Charles had the reputation of being rich , but we did not know how very rich he was until we came to examine his securities ."	` Sir Charles had the reputation of being rich	entailment	c: a S clause	not	True	True	nep	False	
""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	` Why , there 's good my telling you things , for you seem to kw as much as I do already	contradiction	b: cue-removed	no	True	True	nep	True	
"We can not leave it here to the foxes and the ravens . """	We can leave it here to the foxes and the ravens	contradiction	a: within scope.	not	True	True	nep	True	
Well , this morning he had not gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb .	he had gone ten paces down the road when two men came up behind him , threw a coat over his head , and bundled him into a cab that was beside the curb	contradiction	a: within scope.	not	True	True	nep	True	
"You need not fear to speak the truth . """	You need fear to speak the truth	contradiction	a: within scope.	not	True	True	nep	True	
"If the law can do nothing we must take the risk ourselves . """	"If the law can do we must take the risk ourselves . """	contradiction	b: cue-removed	nothing	False	True	nep	True	
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	"There is devil in hell , Mr. Holmes , and there is man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	contradiction	b: cue-removed	no	True	True	nep	True	
"But what I can not make head or tail of , Mr. Holmes , is how on earth YOU got yourself mixed up in the matter . """	YOU got yourself mixed up in the matter	entailment	c: a S clause	not	True	True	nep	False	
The war had destroyed their dreams and had given them nothing to replace those dreams .	The war had given them to replace those dreams	contradiction	a: within scope.	nothing	False	True	nep	True	
His friend and secretary , Mr. Lucas , is undoubtedly a foreigner , chocolate brown , wily , suave , and catlike , with a poisonous gentleness of speech .	His friend and secretary , Mr. Lucas , is doubtedly a foreigner , chocolate brown , wily , suave , and catlike , with a poisonous gentleness of speech .	contradiction	b: cue-removed	un-	False	True	nep	True	
""" I fancy old Frankland allows her a pittance , but it can not be more , for his own affairs are considerably involved ."	` ` I fancy old Frankland allows her a pittance , but it can be more , for his own affairs are considerably involved .	contradiction	b: cue-removed	not	True	True	nep	True	
He had taken this legend which I have read you exceedingly to heartso much so that , although he would walk in his own grounds , nothing would induce him to go out upon the moor at night .	He had taken this legend which I have read you exceedingly to heartso much so that , although he would walk in his own grounds , would induce him to go out upon the moor at night .	contradiction	b: cue-removed	nothing	False	True	nep	True	
Many other cities have never grown in the same way .	Many other cities have grown in the same way .	contradiction	b: cue-removed	never	True	True	nep	True	
It is true that if any sudden danger had threatened him I was too far away to be of use , and yet I am sure that you will agree with me that the position was very difficult , and that there was nothing more which I could do .	I am sure that you will agree with me that the position was very difficult , and that there was more which I could do	contradiction	b: cue-removed	nothing	False	True	nep	True	
And yet , if it were not for the loss of the charming companionship of the boys , I could rejoice over my own misfortune , for , with my strong tastes for botany and zoology , I find an unlimited field of work here , and my sister is as devoted to Nature as I am .	my sister is as devoted to Nature as I am	entailment	c: a S clause	not	True	True	nep	False	
But , after what we have heard I do not feel as if I could give the man up , so there is an end of it .	But , after what we have heard I do feel as if I could give the man up , so there is an end of it .	contradiction	b: cue-removed	not	True	True	nep	True	
They have mercilessly slain our patriots ; they have drowned our uprisings in rivers of blood .	they have drowned our uprisings in rivers of blood	entailment	c: a S clause	-lessly	False	True	nep	False	
You have received your rent , and he is not a troublesome lodger , though he is certainly an unusual one .	he is an usual one	contradiction	a: within scope.	un-	False	True	nep	True	
If nothing stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop : the output reinforces the input ; it makes the input stronger .	If stops the sound and electricity in the loop , it will travel faster and faster , which is why feedback starts out as a low hum and turns into a high squeal very quickly This is an example of a positive feedback loop	contradiction	b: cue-removed	nothing	False	True	nep	True	
"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the "" right "" way to look at the things studied by physics ."	"Galileo had already established the principle of relativity , which said that physical events must look the same to all observers , and no observer has the ` ` right "" way to look at the things studied by physics ."	entailment	c: a S clause	no	True	True	nep	False	
I 'm never without one or the other before me .	I ' m without one or the other before me	entailment	c: a S clause	never	True	True	nep	False	
It does not have a solid shape .	It does have a solid shape .	contradiction	b: cue-removed	not	True	True	nep	True	
It is indorsed ` Mr. and Mrs. Vandeleur , ' but you will have no difficulty in recognizing him , and her also , if you know her by sight .	you know her by sight	contradiction	a: within scope.	no	True	True	nep	True	
If he would confine his energies to this all would be well , but there are rumours that he intends to prosecute Dr. Mortimer for opening a grave without the consent of the next of kin because he dug up the Neolithic skull in the barrow on Long Down .	he intends to prosecute Dr. Mortimer for opening a grave the consent of the next of kin because he dug up the Neolithic skull in the barrow on Long Down	contradiction	b: cue-removed	without	False	True	nep	True	
Many people never disagree on the topic .	Many people disagree on the topic .	contradiction	b: cue-removed	never	True	True	nep	True	
But when little Mary was there I had never a thought of her , and that I swear as I hope for God 's mercy .	I had a thought of her	contradiction	a: within scope.	never	True	True	nep	True	
"If the abnormal cells do not invade , but just divide and swell up their original tissue , this is not called "" cancer "" ."	the abnormal cells do not invade , but just divide and swell up their original tissue	entailment	c: a S clause	not-not	False	True	nep	False	
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	her to arrange to go with me	entailment	c: a S clause	no	True	True	nep	False	
It is a lonely corner , and there is no house within a quarter of a mile of the spot .	It is a lonely corner	entailment	c: a S clause	no	True	True	nep	False	
These ears bear no signs of this .	These ears bear signs of this .	contradiction	b: cue-removed	no	True	True	nep	True	
How often she went I do not know , but I followed her one day , and as I broke in at the door Fairbairn got away over the back garden wall , like the cowardly skunk that he was .	I broke in at the door	entailment	c: a S clause	not	True	True	nep	False	
""" That , unfortunately , is what I can not tell you ."	` ` That , fortunately , is what I can not tell you .	contradiction	b: cue-removed	un-	False	True	nep	True	
"Tell me , frankly , what it is that you do not like . """	you do like	contradiction	a: within scope.	not	True	True	nep	True	
Never have I seen my friend more completely taken aback than by the cabman 's reply .	my friend more completely taken aback than by the cabman 's reply	contradiction	a: within scope.	never	True	True	nep	True	
""" I confess that I share Dr. Mortimer 's belief that it will not be long before the missing boot is found . """	it will be long before the missing boot is found	contradiction	a: within scope.	not	True	True	nep	True	
""" So I should have done had I not seen his death in the paper next morning . """	"` ` So I should have done had I seen his death in the paper next morning . """	contradiction	b: cue-removed	not	True	True	nep	True	
""" Ah , Wilson , I see you have not forgotten the little case in which I had the good fortune to help you ? """	I had the good fortune to help you	contradiction	a: within scope.	not	True	True	nep	True	
I 've taken up the matter , and I wo not lose sight of it .	I ' ve taken up the matter , and I wo lose sight of it .	contradiction	b: cue-removed	not	True	True	nep	True	
"But now you have been kind to us , and I feel as if it would be treating you unfairly not to tell you all that I know about the matter . """	"But now you have been kind to us , and I feel as if it would be treating you unfairly to tell you all that I know about the matter . """	contradiction	b: cue-removed	not	True	True	nep	True	
The words took away my breath for an instant but a glance at the placid face and steadfast eyes of my companion showed that no surprise was intended .	a glance at the placid face and steadfast eyes of my companion showed that surprise was intended	contradiction	b: cue-removed	no	True	True	nep	True	
However , we find that we shall want no more evidence , for on being brought before the inspector at the station he asked leave to make a statement , which was , of course , taken down , just as he made it , by our shorthand man .	we shall want more evidence , for on being brought before the inspector at the station he asked leave to make a statement , which was , of course , taken down , just as he made it , by our shorthand man	contradiction	b: cue-removed	no	True	True	nep	True	
""" It is useless for us to pretend that we do not know you , Dr. Watson , "" said he ."	It is useless for us to pretend that we do know you , Dr. Watson	contradiction	b: cue-removed	not	True	True	nep	True	
"If I had not sworn not to go about alone I might have had a more lively evening , for I had a message from Stapleton asking me over there . """	I had sworn to go about alone	contradiction	b: cue-removed	not	True	True	nep	True	
""" I 'm sure it must look very bad , Mr. Holmes , and I am not aware that in my whole life such a thing has ever happened before ."	such a thing has happened before	contradiction	a: within scope.	not	True	True	nep	True	
That has never been proven and there is no evidence Saddam ever had any ties .	That has been proven and there is no evidence Saddam ever had any ties .	contradiction	b: cue-removed	never	True	True	nep	True	
I tell you , sir , I could not move a finger , nor get my breath , till it whisked away and was gone .	I could move a finger	contradiction	a: within scope.	not	True	True	nep	True	
Art can not also be a form of expression of emotion .	Art can also be a form of expression of emotion	contradiction	a: within scope.	not	True	True	nep	True	
A hound it was , an enormous coal-black hound , but not such a hound as mortal eyes have ever seen .	mortal eyes have seen	contradiction	a: within scope.	not	True	True	nep	True	
He could do little during the day , for Murillo took every precaution and never went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	Murillo took every precaution and went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	contradiction	b: cue-removed	never	True	True	nep	True	
"And I have also communicated with my faithful Cartwright , who would certainly have pined away at the door of my hut , as a dog does at his master 's grave , if I had not set his mind at rest about my safety . """	I had set his mind at rest about my safety	contradiction	a: within scope.	not	True	True	nep	True	
In 1882 , Ferdinand von Lindenmann proved that this is impossible because it is impossible to calculate ù exactly , which is a transcendental number .	it is possible to calculate ù exactly , which is a transcendental number	contradiction	b: cue-removed	im-	False	True	nep	True	
If the earth told a true story , then Stapleton never reached that island of refuge towards which he struggled through the fog upon that last night .	he struggled through the fog upon that last night	contradiction	a: within scope.	never	True	True	nep	True	
He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is no wonder that he has found it a costly amusement .	it a costly amusement	contradiction	a: within scope.	no	True	True	nep	True	
