premise	hypothesis	label	case	cue	common_cue	lexical_overlap	method	negated_scope
Those organs are functional in the ancestral species but are now either nonfunctional or re-adapted to a new function .	Those organs are are now functional	contradiction	a: within scope.	non-	False	True	nep	True
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	us get together	contradiction	a: within scope.	never	True	True	nep	True
We were just as happy as the day was long when we set up house together , and in all Liverpool there was no better woman than my Mary .	in all Liverpool there was better woman than my Mary	contradiction	b: cue-removed	no	True	True	nep	True
""" If my friend would undertake it there is no man who is better worth having at your side when you are in a tight place ."	there is man who is better worth having at your side when you are in a tight place	contradiction	a: within scope.	no	True	True	nep	True
He declares that he heard cries but is unable to state from what direction they came .	He is able to state from what direction they came	contradiction	a: within scope.	un-	False	True	nep	True
Today , many people related to those slaves still live in America , though they are no longer slaves .	they are slaves	contradiction	a: within scope.	no-longer	False	True	nep	True
""" I am convinced , sir , "" she said , "" that this matter is a mistake , and that the parcel was never meant for me at all ."	the parcel was meant for me at all	contradiction	a: within scope.	never	True	True	nep	True
""" But we have no warrant for his arrest . """	we have warrant for his arrest	contradiction	a: within scope.	no	True	True	nep	True
My mind is like a racing engine , tearing itself to pieces because it is not connected up with the work for which it was built .	tearing itself to pieces because it is connected up with the work for which it was built	contradiction	b: cue-removed	not	True	True	nep	True
I was well aware that you could not do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people	entailment	c: a S clause	without	False	True	nep	False
1973 oil crisis The 1973 oil crisis started on October 17 , 1973. when the members of Organization of Arab Petroleum Exporting Countries ( OAPEC ) said , because of the Yom Kippur War , that they would no longer ship petroleum to nations that had supported Israel in its conflict with Syria and Egypt ( The United States , its allies in Western Europe , and Japan ) .	1973 oil crisis The 1973 oil crisis started on October 17 , 1973 . when the members of Organization of Arab Petroleum Exporting Countries OAPEC said , because of the Yom Kippur War , that they would no longer ship petroleum to nations that had supported Israel in its conflict with Syria and Egypt The United States , its allies in Western Europe , and Japan .	entailment	c: a S clause	no-longer	False	True	nep	False
""" I was a boy in my teens at the time of my father 's death and had never seen the Hall , for he lived in a little cottage on the South Coast ."	` ` I was a boy in my teens at the time of my father 's death and had seen the Hall , for he lived in a little cottage on the South Coast .	contradiction	b: cue-removed	never	True	True	nep	True
All was sweet and mellow and peaceful in the golden evening light , and yet as I looked at them my soul shared none of the peace of Nature but quivered at the vagueness and the terror of that interview which every instant was bringing nearer .	every instant was bringing nearer	entailment	c: a S clause	none	False	True	nep	False
Afterwards , North Korea was friendly with China and Russia but never was formally allied with either and became more isolated over time .	Afterwards , North Korea was friendly with China and Russia but was formally allied with and became more isolated over time .	contradiction	b: cue-removed	never	True	True	nep	True
This means that politicians are dishonest , if the word 'politician ' is opposite to 'honest ' .	politicians are honest	contradiction	a: within scope.	dis-	False	True	nep	True
Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had never seen there before .	Gennaro said nothing	entailment	c: a S clause	never	True	True	nep	False
There was nothing for it , however , but implicit obedience ; so we bade good-bye to our rueful friend , and a couple of hours afterwards we were at the station of Coombe Tracey and had dispatched the trap upon its return journey .	so we bade good bye to our rueful friend , and a couple of hours afterwards we were at the station of Coombe Tracey and had dispatched the trap upon its return journey	entailment	c: a S clause	nothing	False	True	nep	False
""" I assure you that I am simply here upon a visit to my friend , Sir Henry , and that I need no help of any kind . """	I am simply here upon a visit to my friend , Sir Henry	entailment	c: a S clause	no	True	True	nep	False
There was no one but Alec Fairbairn whose step she could have mistaken for mine .	There was one but Alec Fairbairn whose step she could have mistaken for mine .	contradiction	b: cue-removed	no	True	True	nep	True
""" He was a devil and a monster , and there can be no judge in the world who would punish my husband for having killed him . """	He was a devil and a monster	entailment	c: a S clause	no	True	True	nep	False
Homosexuality used to be considered a paraphilia , but this is no longer the case in most of the world .	Homosexuality used to be considered a paraphilia	entailment	c: a S clause	no-longer	False	True	nep	False
He could hide his hound , but he could not hush its voice , and hence came those cries which even in daylight were not pleasant to hear .	He could hide his hound , but he could hush its voice , and hence came those cries which even in daylight were pleasant to hear .	contradiction	b: cue-removed	not	True	True	nep	True
Then I broke my blue ribbon and began to drink again , but I think I should not have done it if Mary had been the same as ever .	I think I should have done it if Mary had been the same as	contradiction	b: cue-removed	not	True	True	nep	True
""" I did not wish her to tell me anything ."	` ` I did wish her to tell me anything .	contradiction	b: cue-removed	not	True	True	nep	True
I was a fool to let her go on biding with usa besotted foolbut I never said a word to Mary , for I knew it would grieve her .	it would grieve her	entailment	c: a S clause	never	True	True	nep	False
""" I was never more serious in my life ."	I was more serious in my life	contradiction	a: within scope.	never	True	True	nep	True
""" I have had a most singular and unpleasant experience , Mr. Holmes , "" said he ."	"` ` I have had a most singular and pleasant experience , Mr. Holmes , """	contradiction	b: cue-removed	un-	False	True	nep	True
Holmes looked eagerly round for another , but no empty one was in sight .	Holmes looked eagerly round for another	entailment	c: a S clause	no	True	True	nep	False
But more than that we were never destined to know , though there was much which we might surmise .	we might surmise	entailment	c: a S clause	never	True	True	nep	False
""" Mrs. Lyons , "" said I as I rose from this long and inconclusive interview , "" you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know ."	you are taking a very great responsibility and putting yourself in a very false position by making an absolutely clean breast of all that you know	contradiction	b: cue-removed	not	True	True	nep	True
Both Frieza and Zarbon looked down upon him for carelessly leaving him alive .	Both Frieza and Zarbon looked down upon him for care leaving him alive .	contradiction	b: cue-removed	-lessly	False	True	nep	True
However , we find that we shall want no more evidence , for on being brought before the inspector at the station he asked leave to make a statement , which was , of course , taken down , just as he made it , by our shorthand man .	he made it	entailment	c: a S clause	no	True	True	nep	False
"When you know me better you will understand that I can not always give reasons for what I say or do . """	"When you know me better you will understand that I can always give reasons for what I say or do . """	contradiction	b: cue-removed	not	True	True	nep	True
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it if she could have stopped it	contradiction	a: within scope.	not	True	True	nep	True
"I do not want you to commit yourself too far unless you are sure . """	you to commit yourself too far unless you are sure	contradiction	a: within scope.	not	True	True	nep	True
I left Sir Henry behind , therefore , not without some prickings of conscience , and drove off upon my new quest .	I left Sir Henry behind without some prickings of conscience	contradiction	a: within scope.	not	True	True	nep	True
I swore that I would not leave the hut until I knew .	I knew	contradiction	a: within scope.	not	True	True	nep	True
""" I trust that they do not mean that I have done anything to forfeit your confidence ? """	they do mean that I have done anything to forfeit your confidence	contradiction	a: within scope.	not	True	True	nep	True
""" The truth is that the gentleman told me that he was a detective and that I was to say nothing about him to anyone . """	he was a detective	entailment	c: a S clause	nothing	False	True	nep	False
I gave him such consolation as I might , but I thought of the pony on the Grimpen Mire , and I do not fancy that he will see his little dog again .	I do fancy that he will see his little dog again	contradiction	a: within scope.	not	True	True	nep	True
He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	for a time he was not responsible for what he said or did	entailment	c: a S clause	not	True	True	nep	False
My body has remained in this armchair and has , I regret to observe , consumed in my absence two large pots of coffee and an incredible amount of tobacco .	My body has remained in this armchair and has , I regret to observe , consumed in my absence two large pots of coffee and an credible amount of tobacco .	contradiction	b: cue-removed	in-	False	True	nep	True
There are not several types of chemistry .	There are several types of chemistry .	contradiction	b: cue-removed	not	True	True	nep	True
The meaning of the diamond is not innocence .	The meaning of the diamond is innocence .	contradiction	b: cue-removed	not	True	True	nep	True
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	Yet I am certain that he does wish their intimacy to ripen into love	contradiction	b: cue-removed	not	True	True	nep	True
I had nothing to do with my host going off upon a nocturnal excursion and meeting so sad an end .	my host going off upon a nocturnal excursion and meeting so sad an end	contradiction	a: within scope.	nothing	False	True	nep	True
"We can not leave it here to the foxes and the ravens . """	We can leave it here to the foxes and the ravens	contradiction	a: within scope.	not	True	True	nep	True
Mr. Gregson and I ran him to ground in that big tenement house , and there 's only one door , so he can not slip us .	Mr. Gregson and I ran him to ground in that big tenement house	entailment	c: a S clause	not	True	True	nep	False
"I waited quite a time , but there was no more of it , so I concluded that it was all a dream . """	it was all a dream	entailment	c: a S clause	no	True	True	nep	False
When I thought of the heavy rains and looked at the gaping roof I understood how strong and immutable must be the purpose which had kept him in that inhospitable abode .	When I thought of the heavy rains and looked at the gaping roof I understood how strong and immutable must be the purpose which had kept him in that hospitable abode .	contradiction	b: cue-removed	in-	False	True	nep	True
""" I do not see how that is to be managed , unless you break in the door ."	I do see how that is to be managed	contradiction	a: within scope.	not	True	True	nep	True
""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	he is a crazy man	contradiction	a: within scope.	not	True	True	nep	True
""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	I dare say my fare knew all about it	entailment	c: a S clause	not	True	True	nep	False
Gennaro said nothing , but I , who knew him so well , could read in his face some emotion which I had never seen there before .	knew him so well	entailment	c: a S clause	nothing	False	True	nep	False
I do not wonder that my uncle got a little jumpy if he lived all alone in such a house as this .	I do wonder that my uncle got a little jumpy if he lived all alone in such a house as this	contradiction	a: within scope.	not	True	True	nep	True
Magnesium compounds are used medicinally as common laxatives , antacids ( i.e. , milk of magnesia ) , and in a number of situations where stabilization of abnormal nerve excitation and blood vessel spasm is required ( that is , to treat eclampsia ) .	stabilization of normal nerve excitation and blood vessel spasm is required that is , to treat eclampsia	contradiction	b: cue-removed	ab-	False	True	nep	True
""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	` ` I can t forget the look in his eyes when he ran at me this morning , but I must allow that man could make a more handsome apology than he has done	contradiction	b: cue-removed	no	True	True	nep	True
I meekly answered that I had spoken without knowing all the facts .	I meekly answered that I had spoken knowing all the facts .	contradiction	b: cue-removed	without	False	True	nep	True
The man can not come near the woman , or he will guide their enemies to her .	The man can come near the woman	contradiction	a: within scope.	not	True	True	nep	True
Pseudoscience is often considered immoral by scientists not because its claims are undemonstrated , but because they are sometimes presented as facts and/or real .	Pseudoscience is often considered immoral by scientists not because its claims are demonstrated , but because they are sometimes presented as facts and / or real .	contradiction	b: cue-removed	un-	False	True	nep	True
That was in yesterday 's paper , and there is nothing in to-day 's .	there is in to day 's	entailment	c: a S clause	nothing	False	True	nep	False
""" This is very painfulvery painful and terrible , "" said Mr. Scott Eccles in a querulous voice , "" but it is really uncommonly hard on me ."	"` ` This is very painfulvery painful and terrible , "" said Mr. Scott Eccles in a querulous voice , ` ` but it is really commonly hard on me ."	contradiction	b: cue-removed	un-	False	True	nep	True
"I will not tell . """	I will tell	contradiction	a: within scope.	not	True	True	nep	True
You can imagine my surprise when I found that there was no one there .	there was one there	contradiction	a: within scope.	no	True	True	nep	True
""" But it had not approached the body ? """	it had approached the body	contradiction	a: within scope.	not	True	True	nep	True
Some ghosts might not cause fear .	Some ghosts might cause fear	contradiction	a: within scope.	not	True	True	nep	True
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would express his whole opinion out of consideration for the feelings of the baronet .	contradiction	b: cue-removed	not	True	True	nep	True
And the Bird of Paradise must have flown around the ark endlessly , because it had no feet to land .	And the Bird of Paradise must have flown around the ark endlessly , because it had feet to land .	contradiction	b: cue-removed	no	True	True	nep	True
"No , my dear fellow ; we must reconcile ourselves to the fact that we have no case at present , and that it is worth our while to run any risk in order to establish one . """	we have case at present	contradiction	a: within scope.	no	True	True	nep	True
"You saw me , perhaps , on the night of the convict hunt , when I was so imprudent as to allow the moon to rise behind me ? """	I was so prudent as to allow the moon to rise behind me	contradiction	a: within scope.	im-	False	True	nep	True
There is no indication as to the sender , and the matter is the more mysterious as Miss Cushing , who is a maiden lady of fifty , has led a most retired life , and has so few acquaintances or correspondents that it is a rare event for her to receive anything through the post .	her to receive anything through the post	entailment	c: a S clause	no	True	True	nep	False
"But I shall be very much surprised if it is not clear enough before we go to bed this night . """	it is clear enough before we go to bed this night	contradiction	a: within scope.	not	True	True	nep	True
To hear his quick step moving here and moving there from early morning to late at night , and yet never to catch so much as a glimpse of himit 's more than I can stand .	I can stand	entailment	c: a S clause	never	True	True	nep	False
"For example , it is now known that the "" surface "" of Halley is largely composed of dusty , non-volatile materials , and that only a small portion of it is icy ."	"the ` ` surface "" of Halley is largely composed of dusty ,volatile materials , and that only a small portion of it is icy"	contradiction	b: cue-removed	non-	False	True	nep	True
Quite a few festivals are never held in this month .	Quite a few festivals are held in this month	contradiction	a: within scope.	never	True	True	nep	True
"Please arrange your thoughts and let me know , in their due sequence , exactly what those events are which have sent you out unbrushed and unkempt , with dress boots and waistcoat buttoned awry , in search of advice and assistance . """	"Please arrange your thoughts and let me know , in their due sequence , exactly what those events are which have sent you out brushed and kempt , with dress boots and waistcoat buttoned awry , in search of advice and assistance . """	contradiction	b: cue-removed	un-	False	True	nep	True
I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should never had broken away .	I sprang out , they tried to drag me back , and had it been for the help of this good man , who led me to the cab , I should never had broken away .	contradiction	b: cue-removed	not	True	True	nep	True
"You saw yourself how neither of the inspectors dreamed of questioning his statement , extraordinary as it was . """	it was	entailment	c: a S clause	neither	False	True	nep	False
I can imagine that the word was taken out of a dictionary , which would give the noun but not the plural .	the word was taken out of a dictionary , which would give the noun but the plural	contradiction	b: cue-removed	not	True	True	nep	True
""" No one could find his way into the Grimpen Mire tonight . """	"` ` No one could find his way into the Grimpen Mire tonight . """	contradiction	b: cue-removed	no	True	True	nep	True
""" But I beg to point out that I have not yet heard what has happened to Mr. Garcia , nor what has become of his household . """	I have yet heard what has happened to Mr. Garcia	contradiction	a: within scope.	not	True	True	nep	True
""" I did not think you would have taken advantage of it , Sir Henryindeed I did not . """	I did think you would have taken advantage of it	contradiction	a: within scope.	not	True	True	nep	True
We know now why Stapleton looked with disfavour upon his sister 's suitoreven when that suitor was so eligible a one as Sir Henry .	Stapleton looked with favour upon his sister 's suitor	contradiction	a: within scope.	dis-	False	True	nep	True
One would imagine that such a match would be very welcome to Stapleton , and yet I have more than once caught a look of the strongest disapprobation in his face when Sir Henry has been paying some attention to his sister .	Sir Henry has been paying some attention to his sister	entailment	c: a S clause	dis-	False	True	nep	False
""" Your case is not complete , then ? "" I asked ."	"` ` Your case is complete , then ? "" I asked ."	contradiction	b: cue-removed	not	True	True	nep	True
He jumped up when he heard my business , and I had my whistle to my lips to call a couple of river police , who were round the corner , but he seemed to have no heart in him , and he held out his hands quietly enough for the darbies .	he have heart in him	contradiction	a: within scope.	no	True	True	nep	True
By analysis of experiential consciousness , he exposed the relative nature of the world and established the non-dual reality of Brahman in which Atman ( the individual soul ) and Brahman ( the ultimate reality ) are identified absolutely .	By analysis of experiential consciousness , he exposed the relative nature of the world and established thedual reality of Brahman in which Atman the individual soul and Brahman the ultimate reality are identified absolutely .	contradiction	b: cue-removed	non-	False	True	nep	True
Because it is not considered to belong to any country at the moment , the city has no embassies .	Because it is considered to belong to some country at the moment , the city has no embassies .	contradiction	b: cue-removed	not	True	True	nep	True
"But no one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	"But one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	contradiction	b: cue-removed	no	True	True	nep	True
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	What it all means I can guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	contradiction	b: cue-removed	not	True	True	nep	True
People might not miss the person who has died .	People might miss the person who has died	contradiction	a: within scope.	not	True	True	nep	True
My darling made use of the few clear days which our start had given us in arranging for a refuge for me in such a fashion that no possible danger could reach me .	possible danger could reach me	contradiction	a: within scope.	no	True	True	nep	True
"It is not my intention to be fulsome , but I confess that I covet your skull . """	"It is my intention to be fulsome , but I confess that I covet your skull . """	contradiction	b: cue-removed	not	True	True	nep	True
I should prefer that you do not mention my name at all in connection with the case , as I choose to be only associated with those crimes which present some difficulty in their solution .	you do mention my name at all in connection with the case , as I choose to be only associated with those crimes which present some difficulty in their solution	contradiction	b: cue-removed	not	True	True	nep	True
He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did not want them to be married .	He was allowed to marry Natalia after years of engagement during which the Russian Orthodox Church did want them to be married .	contradiction	b: cue-removed	not	True	True	nep	True
""" Well , Mrs. Warren , I can not see that you have any particular cause for uneasiness , nor do I understand why I , whose time is of some value , should interfere in the matter ."	I can see that you have some particular cause for uneasiness	contradiction	a: within scope.	not	True	True	nep	True
Everything was working in my favour , and I swore that it should not be through lack of energy or perseverance that I should miss the chance which fortune had thrown in my way .	I should miss the chance which fortune had thrown in my way	contradiction	a: within scope.	not	True	True	nep	True
""" That , unfortunately , is what I can not tell you ."	I can not tell you	entailment	c: a S clause	un-	False	True	nep	False
Poor Mortimer will never see his pet again .	Poor Mortimer will see his pet again .	contradiction	b: cue-removed	never	True	True	nep	True
Her father refused to have anything to do with her because she had married without his consent and perhaps for one or two other reasons as well .	Her father refused to have anything to do with her because she had married his consent and perhaps for one or two other reasons as well .	contradiction	b: cue-removed	without	False	True	nep	True
Picasso had said that the painting should never return to Spain until it was a democracy again .	Picasso had said that the painting should return to Spain until it was a democracy again .	contradiction	b: cue-removed	never	True	True	nep	True
This is not bad for people 's health .	This is bad for people 's health .	contradiction	b: cue-removed	not	True	True	nep	True
` Surely Jimmy will not break his mother 's heart 'that appears to be irrelevant .	that to be relevant	contradiction	a: within scope.	ir-	False	True	nep	True
"I have not had such a day since I had Sir John Morland for trespass because he shot in his own warren . """	I had Sir John Morland for trespass because he shot in his own warren	contradiction	a: within scope.	not	True	True	nep	True
It was unlikely that she would dare to say that she had not been to Baskerville Hall if she really had been , for a trap would be necessary to take her there , and could not have returned to Coombe Tracey until the early hours of the morning .	she had not been to Baskerville Hall if she really had been	contradiction	a: within scope.	un-	False	True	nep	True
How is the owner going to restore the glories of the Baskervilles if he has not money enough to keep up the property ?	he has money enough to keep up the property	contradiction	a: within scope.	not	True	True	nep	True
We may take it , therefore , that the letter was composed by an educated man who wished to pose as an uneducated one , and his effort to conceal his own writing suggests that that writing might be known , or come to be known , by you .	We may take it , therefore , that the letter was composed by an educated man who wished to pose as an educated one	contradiction	b: cue-removed	un-	False	True	nep	True
"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	There is devil in hell	contradiction	a: within scope.	no	True	True	nep	True
To him it may have been an unmitigated relief , but she wept bitterly in her apron .	To him it may have been an mitigated relief	contradiction	b: cue-removed	un-	False	True	nep	True
""" I do not pretend to know much about these things , and I 'd be a better judge of a horse or a steer than of a picture ."	I 'd be a better judge of a horse or a steer than of a picture	entailment	c: a S clause	not	True	True	nep	False
I could draw nothing further from him , and he walked , lost in thought , as far as the Baskerville gates .	he walked , lost in thought , as far as the Baskerville gates	entailment	c: a S clause	nothing	False	True	nep	False
""" I observed the very instant that I entered the room that you have a portrait group of three ladies upon the mantelpiece , one of whom is undoubtedly yourself , while the others are so exceedingly like you that there could be no doubt of the relationship . """	I entered the room	entailment	c: a S clause	no	True	True	nep	False
The thought was in my head as I turned into my own street , and at that moment a cab passed me , and there she was , sitting by the side of Fairbairn , the two chatting and laughing , with never a thought for me as I stood watching them from the footpath .	a thought for me as I stood watching them from the footpath	contradiction	a: within scope.	never	True	True	nep	True
That means that while they are , as we have seen , very anxious to watch him , they are equally anxious that he should not see them .	we have seen	entailment	c: a S clause	not	True	True	nep	False
That was imprudent .	That was prudent .	contradiction	b: cue-removed	im-	False	True	nep	True
""" If you have never worn them , why did you put them out to be cleaned ? """	you have worn them	contradiction	a: within scope.	never	True	True	nep	True
When we have him by the heels we can see if New York can not help us to keep him .	New York can help us to keep him	contradiction	a: within scope.	not	True	True	nep	True
""" To hear a hound upon the moor would not work a hard man like this convict into such a paroxysm of terror that he would risk recapture by screaming wildly for help ."	hear a hound upon the moor would work a hard man like this convict into such a paroxysm of terror that he would risk recapture by screaming wildly for help	contradiction	a: within scope.	not	True	True	nep	True
They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	no single earthquake in the sequence is obviously the main shock	entailment	c: a S clause	none	False	True	nep	False
Her father refused to have anything to do with her because she had married without his consent and perhaps for one or two other reasons as well .	she had married without his consent and perhaps for one or two other reasons as well	entailment	c: a S clause	refused	False	True	nep	False
""" I may not know exactly where he is , but I am quite sure that I could help the police to lay their hands on him ."	` ` I may know exactly where he is , but I am quite sure that I could help the police to lay their hands on him .	contradiction	b: cue-removed	not	True	True	nep	True
""" I did not wish her to tell me anything ."	her to tell me anything	contradiction	a: within scope.	not	True	True	nep	True
And yet , if it were not for the loss of the charming companionship of the boys , I could rejoice over my own misfortune , for , with my strong tastes for botany and zoology , I find an unlimited field of work here , and my sister is as devoted to Nature as I am .	it were not for the loss of the charming companionship of the boys	entailment	c: a S clause	un-	False	True	nep	False
""" I do not know much of British life yet , for I have spent nearly all my time in the States and in Canada ."	I have spent nearly all my time in the States and in Canada	entailment	c: a S clause	not	True	True	nep	False
""" I think it unlikely that he waited at the moor-gate every evening ."	` ` I think it unlikely that he waited at the moor gate every evening .	entailment	c: a S clause	un-	False	True	nep	False
Although the Roman Catholic Church no longer requires people to sing Gregorian chants , it still says that Gregorian chant is the best music for prayer .	the Roman Catholic Church requires people to sing Gregorian chants	contradiction	a: within scope.	no-longer	False	True	nep	True
"We can not arrest without her evidence , that is clear , so the sooner we get a statement the better . """	"We can not arrest her evidence , that is clear , so the sooner we get a statement the better . """	contradiction	b: cue-removed	without	False	True	nep	True
"As it is , I have been able to get about as I could not possibly have done had I been living in the Hall , and I remain an unknown factor in the business , ready to throw in all my weight at a critical moment . """	I remain an unknown factor in the business , ready to throw in all my weight at a critical moment	entailment	c: a S clause	not	True	True	nep	False
""" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? """	this is important	entailment	c: a S clause	not	True	True	nep	False
There was no chance of finding footsteps in the mire , for the rising mud oozed swiftly in upon them , but as we at last reached firmer ground beyond the morass we all looked eagerly for them .	the rising mud oozed swiftly in upon them	entailment	c: a S clause	no	True	True	nep	False
They were killed and eaten by sailors until there was none left .	there was left	contradiction	a: within scope.	none	False	True	nep	True
The rain forest is destroyed and nothing can be done with the land .	The rain forest is destroyed	entailment	c: a S clause	nothing	False	True	nep	False
I suppose that it does not always run loose upon the moor .	it does always run loose upon the moor	contradiction	a: within scope.	not	True	True	nep	True
""" An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , "" "" Do what you want to do , but do not harm anything in the process "" ."	"` ` An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , ` ` "" Do what you want to do , but do harm anything in the process "" ."	contradiction	b: cue-removed	not	True	True	nep	True
""" ` It had seemed to me sometimes that she liked to be alone with me , or to coax me out for a walk with her , but I had never thought anything of that ."	she liked to be alone with me , or to coax me out for a walk with her	entailment	c: a S clause	never	True	True	nep	False
""" I said that it was not my secret and that I could not tell it to you ."	` ` I said that it was my secret and that I could tell it to you .	contradiction	b: cue-removed	not	True	True	nep	True
""" That , unfortunately , is what I can not tell you ."	` ` That , unfortunately , is what I can tell you .	contradiction	b: cue-removed	not	True	True	nep	True
I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I followed the footsteps down the yew alley , I saw the spot at the moor gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I ed that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had been touched until my arrival .	contradiction	b: cue-removed	not	True	True	nep	True
He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	He had understood , he said , that I was becoming attached to her	contradiction	b: cue-removed	not	True	True	nep	True
"Why , bless you , Mrs. Warren , if I were your lodger you often would not see me for weeks on end . """	I were your lodger	contradiction	a: within scope.	not	True	True	nep	True
Prions are a form of virus that are basically abnormal clumps of proteins .	that are basically normal clumps of proteins	contradiction	a: within scope.	ab-	False	True	nep	True
` Surely Jimmy will not break his mother 's heart 'that appears to be irrelevant .	Jimmy will break his mother 's heart	contradiction	a: within scope.	not	True	True	nep	True
""" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger ."	he was suspected	entailment	c: a S clause	no	True	True	nep	False
He has been there for ten days , and neither Mr. Warren , nor I , nor the girl has once set eyes upon him .	neither Mr. Warren , nor I , nor the girl has once set eyes upon him	contradiction	b: cue-removed	neither-nor-nor	False	True	nep	True
""" And then you will say nothing to him at all until I have made up my mind about the matter . """	I have made up my mind about the matter	contradiction	a: within scope.	nothing	False	True	nep	True
That seemed to make the matter no better , so then I lost my temper too , and I answered him rather more hotly than I should perhaps , considering that she was standing by .	That seemed to make the matter better	contradiction	a: within scope.	no	True	True	nep	True
""" No marks could show on the grass . """	marks could show on the grass	contradiction	a: within scope.	no	True	True	nep	True
He never could tell her that he loved her , and now she was dead .	He could tell her that he loved her	contradiction	a: within scope.	never	True	True	nep	True
""" Well , he was not altogether such an easy gentleman to describe ."	` ` Well , he was altogether such an easy gentleman to describe .	contradiction	b: cue-removed	not	True	True	nep	True
"He says that they are not human . """	"He says that they are human . """	contradiction	b: cue-removed	not	True	True	nep	True
A spectral hound which leaves material footmarks and fills the air with its howling is surely not to be thought of .	A spectral hound which leaves material footmarks and fills the air with its howling is to be thought of	contradiction	a: within scope.	not	True	True	nep	True
"No one can say so more confidently than I . """	one can say so more confidently than I	contradiction	a: within scope.	no	True	True	nep	True
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	he would express his whole opinion out of consideration for the feelings of the baronet	contradiction	a: within scope.	not	True	True	nep	True
Again and again I cross-questioned her , but I could never get past that point .	Again and again I cross questioned her , but I could get past that point .	contradiction	b: cue-removed	never	True	True	nep	True
For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should be perfectly frank .	contradiction	b: cue-removed	not	True	True	nep	True
I will say nothing to add to his anxieties , but I will take my own steps to attain my own end .	I will say to add to his anxieties , but I will take my own steps to attain my own end .	contradiction	b: cue-removed	nothing	False	True	nep	True
""" Mrs. Lyons , "" said I as I rose from this long and inconclusive interview , "" you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know ."	"` ` Mrs. Lyons , "" said I as I rose from this long and inconclusive interview , ` ` you are taking a very great responsibility and putting yourself in a very false position by making an absolutely clean breast of all that you know ."	contradiction	b: cue-removed	not	True	True	nep	True
I tell you , sir , I could not move a finger , nor get my breath , till it whisked away and was gone .	it whisked away and was gone	entailment	c: a S clause	nor	True	True	nep	False
He had not followed me himself , but he had set an agentthe boy , perhapsupon my track , and this was his report .	he had set an agentthe boy , perhapsupon my track	entailment	c: a S clause	not	True	True	nep	False
Holmes pointed with a chuckle to one of these , a row of residential flats , which projected so that they could not fail to catch the eye .	Holmes pointed with a chuckle to one of these , a row of residential flats , which projected so that they could fail to catch the eye .	contradiction	b: cue-removed	not	True	True	nep	True
