sent_1	sent_2	method	lexical_overlap	negated_scope
of them are as good as those of Chopin	There were other classical composers who wrote Mazurkas , but none of them are as good as those of Chopin .	swapped	False	False
it is for me to go to Dartmoor	"You will see how impossible it is for me to go to Dartmoor . """	swapped	False	False
We have , of course , wired to the Belfast post office	We have , of course , wired to the Belfast post-office , but a large number of parcels were handed in upon that day , and they have no means of identifying this particular one , or of remembering the sender .	swapped	False	False
it was difficult for me to guess that it was to see her that you had gone	""" And now tell me the result of your visit to Mrs. Laura Lyonsit was not difficult for me to guess that it was to see her that you had gone , for I am already aware that she is the one person in Coombe Tracey who might be of service to us in the matter ."	swapped	False	False
There is devil in hell	"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	swapped	False	False
You have else to report to us before we go into this matter	"You have nothing else to report to us before we go into this matter ? """	swapped	False	False
she could have mistaken for mine	There was no one but Alec Fairbairn whose step she could have mistaken for mine .	swapped	False	False
you seem to know as much as I do already	""" Why , there 's no good my telling you things , for you seem to know as much as I do already , "" said he ."	swapped	False	False
By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really more than twelve .	By some juggling of the clocks it is quite possible that they may have got Scott Eccles to bed earlier than he thought , but in any case it is likely that when Garcia went out of his way to tell him that it was one it was really not more than twelve .	swapped	False	False
me to do the theorizing	""" I will not bias your mind by suggesting theories or suspicions , Watson , "" said he ; "" I wish you simply to report facts in the fullest possible manner to me , and you can leave me to do the theorizing . """	swapped	False	False
I ' ve not heard of him since I left out food for him last	"I 've not heard of him since I left out food for him last , and that was three days ago . """	swapped	False	False
I could not have anticipated	Things have taken a turn which I could not have anticipated .	swapped	False	False
it not been a mistake	"What they would have done had it not been a mistake , we can only conjecture . """	swapped	False	False
I understand	You are uneasy , as I understand , because your new lodger remains in his rooms and you can not see him .	swapped	False	False
"` ` I presume , sir , "" said he at last , ` ` that it was merely for the purpose of examining my skull that you have done me the honour to call here last night and again today ? """	""" I presume , sir , "" said he at last , "" that it was not merely for the purpose of examining my skull that you have done me the honour to call here last night and again today ? """	swapped	False	False
We did drive up to the door	We did not drive up to the door but got down near the gate of the avenue .	swapped	False	False
we are so far wrong	""" Come , come , we are not so far wrong , after all , "" said Holmes ."	swapped	False	False
I could understand it at the time	I can see now how she was plotting and scheming and poisoning my wife 's mind against me , but I was such a blind beetle that I could not understand it at the time .	swapped	False	False
"` ` Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and on the grass ? """	""" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? """	swapped	False	False
There are various levels of crimes	There are not various levels of crimes .	swapped	False	False
He 's been out three days now	He 's been out three days now , and the warders watch every road and every station , but they 've had no sight of him yet .	swapped	False	False
Such an excursion could be kept secret	Such an excursion could not be kept secret .	swapped	False	False
I had been able to bridge in this most complex affair	""" It fills up a gap which I had been unable to bridge in this most complex affair ."	swapped	False	False
I did know about a projected divorce between herself and her husband .	I did not know about a projected divorce between herself and her husband .	swapped	False	False
The outside is even .	The outside is not even .	swapped	False	False
wheelchair ramps would be practical	Because of wheelchair access laws , elevators are often a legal requirement in new multi-story buildings , especially where wheelchair ramps would be impractical .	swapped	False	False
it all means I can not guess	What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	swapped	False	False
many people , including the peasants and the intelligentsia , were tortured	Their rule was irresponsible and many people , including the peasants and the intelligentsia , were tortured .	swapped	False	False
"` ` As to the latter part , I have no means of checking you , "" said I , ` ` but at least it is difficult to find out a few particulars about the man 's age and professional career . """	""" As to the latter part , I have no means of checking you , "" said I , "" but at least it is not difficult to find out a few particulars about the man 's age and professional career . """	swapped	False	False
my friends are good enough for this house	""" Oh ! "" says she , "" if my friends are not good enough for this house , then I am not good enough for it either . """	swapped	False	False
it certainly presents some novel and interesting features	""" On the face of it the case is not a very complex one , though it certainly presents some novel and interesting features ."	swapped	False	False
one saw it by day	But where could such a hound lie concealed , where did it get its food , where did it come from , how was it that no one saw it by day ?	swapped	False	False
you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know	""" Mrs. Lyons , "" said I as I rose from this long and inconclusive interview , "" you are taking a very great responsibility and putting yourself in a very false position by not making an absolutely clean breast of all that you know ."	swapped	False	False
it was all legible	The letter had , as I said , been burned and it was not all legible .	swapped	False	False
The meaning of the diamond is innocence	The meaning of the diamond is not innocence .	swapped	False	False
she would have let me talk about it if she could have stopped it	She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	swapped	False	False
I saw a chance of having a few words with her alone	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	swapped	False	False
many will have personal reasons for bewailing his timely end	Being himself childless , it was his openly expressed desire that the whole countryside should , within his own lifetime , profit by his good fortune , and many will have personal reasons for bewailing his untimely end .	swapped	False	False
our start had given us in arranging for a refuge for me in such a fashion that possible danger could reach me	My darling made use of the few clear days which our start had given us in arranging for a refuge for me in such a fashion that no possible danger could reach me .	swapped	False	False
we were to drag this great dog to the light of day	"If he were acting through a human agent we could get some evidence , but if we were to drag this great dog to the light of day it would not help us in putting a rope round the neck of its master . """	swapped	False	False
creeper to break its harsh outline	Now and then we passed a moorland cottage , walled and roofed with stone , with no creeper to break its harsh outline .	swapped	False	False
` ` I said that it was my secret and that I could tell it to you .	""" I said that it was not my secret and that I could not tell it to you ."	swapped	False	False
River Plate was correctly translated though , and should have been translated to English as River of the Silver .	River Plate was incorrectly translated though , and should have been translated to English as River of ( the ) Silver .	swapped	False	False
the sound could have come from her	"The other is my wife , and I can answer for it that the sound could not have come from her . """	swapped	False	False
I left it	""" I 've been over a good part of the world since I left it , Dr. Watson , "" said he ; "" but I have never seen a place to compare with it . """	swapped	False	False
the word is from	But nobody knows where the word is from : some say the word comes from Chinese , others say the word comes from England .	swapped	False	False
he is a troublesome lodger	You have received your rent , and he is not a troublesome lodger , though he is certainly an unusual one .	swapped	False	False
It may have been that Barrymore had some private signal which we had neglected to give , or the fellow may have had some other reason for thinking that all was well , but I could read his fears upon his wicked face .	It may have been that Barrymore had some private signal which we had neglected to give , or the fellow may have had some other reason for thinking that all was not well , but I could read his fears upon his wicked face .	swapped	False	False
I must stop , or my brother may miss me .	I must not stop , or my brother may miss me .	swapped	False	False
"But what I can make head or tail of , Mr. Holmes , is how on earth YOU got yourself mixed up in the matter . """	"But what I can not make head or tail of , Mr. Holmes , is how on earth YOU got yourself mixed up in the matter . """	swapped	False	False
he saw with his own eyes that it was really so , and that she might be taken away from him	He had not understood , he said , that I was becoming attached to her , but when he saw with his own eyes that it was really so , and that she might be taken away from him , it gave him such a shock that for a time he was not responsible for what he said or did .	swapped	False	False
the country the sea presented the slightest attraction to him	A depleted bank account had caused me to postpone my holiday , and as to my companion , neither the country nor the sea presented the slightest attraction to him .	swapped	False	False
no corner of the house unexplored	There was no light save in the dining-room , but Holmes caught up the lamp and left no corner of the house unexplored .	swapped	False	False
she wept bitterly in her apron	To him it may have been an unmitigated relief , but she wept bitterly in her apron .	swapped	False	False
It filled the whole air	It filled the whole air , and yet it was impossible to say whence it came .	swapped	False	False
"Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you been interrupted . """	"Now , sir , I suggest that you take no notice of this addition to your audience , and that you proceed with your narrative exactly as you would have done had you never been interrupted . """	swapped	False	False
Sir Henry lay sensible where he had fallen	Sir Henry lay insensible where he had fallen .	swapped	False	False
"But one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	"But no one can glance at your toilet and attire without seeing that your disturbance dates from the moment of your waking . """	swapped	False	False
he had been her brother	If he had not been her brother I should have known better how to answer him .	swapped	False	False
that moan had been the passing of his soul	So grotesque was the attitude that I could not for the instant realize that that moan had been the passing of his soul .	swapped	False	False
Others say he was killed by loyal Wallachian boyars in the war against the Turks , or during a hunt .	Others say he was killed by disloyal Wallachian boyars in the war against the Turks , or during a hunt .	swapped	False	False
Mr. Warren , I , the girl has once set eyes upon him	He has been there for ten days , and neither Mr. Warren , nor I , nor the girl has once set eyes upon him .	swapped	False	False
"` ` An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , ` ` "" Do what you want to do , but do harm anything in the process "" ."	""" An harm ye none , do what ye will "" is the very basic Wiccan Rede , which means , "" "" Do what you want to do , but do not harm anything in the process "" ."	swapped	False	False
There is object in our following them	""" There is no object in our following them , "" said Holmes ."	swapped	False	False
installing cylinders greater than a certain length becomes practical for very high lift hoistways	Hydraulic lifts are cheaper , but installing cylinders greater than a certain length becomes impractical for very high lift hoistways .	swapped	False	False
Apparently the tenants had brought little or with them , and all the furniture down to the smallest details had been taken over with the house .	Apparently the tenants had brought little or nothing with them , and all the furniture down to the smallest details had been taken over with the house .	swapped	False	False
you can yourself recall how your reverie commenced	"Perhaps you can not yourself recall how your reverie commenced ? """	swapped	False	False
Her father to have anything to do with her because she had married without his consent and perhaps for one or two other reasons as well .	Her father refused to have anything to do with her because she had married without his consent and perhaps for one or two other reasons as well .	swapped	False	False
Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70	People who study the history of music and religion no longer believe this , because most early Christian songs were not from the Psalms , and Jews did not sing Psalms for many centuries after their most important holy place , the Second Temple , was destroyed in the year 70 .	swapped	False	False
he ran at me this morning	""" I do not say now that he is not a crazy man , "" said Sir Henry ; "" I can not forget the look in his eyes when he ran at me this morning , but I must allow that no man could make a more handsome apology than he has done . """	swapped	False	False
I say or do	"When you know me better you will understand that I can not always give reasons for what I say or do . """	swapped	False	False
It seemed hope to pursue the inquiry some farther	It seemed hopeless to pursue the inquiry any farther , but it was clear that in spite of Holmes 's ruse we had no proof that Barrymore had not been in London all the time .	swapped	False	False
Miss Burnet has been seen by some human eye since the night of the murder	Miss Burnet has not been seen by any human eye since the night of the murder .	swapped	False	False
he had cultivated	Save for this one excursion , he spent his days in long and often solitary walks , or in chatting with a number of village gossips whose acquaintance he had cultivated .	swapped	False	False
at least it is difficult to find out a few particulars about the man 's age and professional career	""" As to the latter part , I have no means of checking you , "" said I , "" but at least it is not difficult to find out a few particulars about the man 's age and professional career . """	swapped	False	False
` ` I can swear to one thing , and that is that we have been shadowed during the last two days .	""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	swapped	False	False
the law can do	"If the law can do nothing we must take the risk ourselves . """	swapped	False	False
it was a pure mastiff	It was not a pure bloodhound and it was not a pure mastiff ; but it appeared to be a combination of the twogaunt , savage , and as large as a small lioness .	swapped	False	False
You can hang me , or do what you like with me , but you can punish me as I have been punished already .	You can hang me , or do what you like with me , but you can not punish me as I have been punished already .	swapped	False	False
I have doubt that we shall have all our details filled in	"When he arrives he will be met by the obtuse but resolute Lestrade , and I have no doubt that we shall have all our details filled in . """	swapped	False	False
It was the convict .	It was not the convict .	swapped	False	False
I have disappointed you as an agentthat you do regret the confidence which you showed in me when you sent me down	Congratulate me , my dear Holmes , and tell me that I have not disappointed you as an agentthat you do not regret the confidence which you showed in me when you sent me down .	swapped	False	False
It is an easy problem	It is not an easy problem , but he solved it in an original fashion , and so effectively that her presence was not even known to the landlady who supplies her with food .	swapped	False	False
my host going off upon a nocturnal excursion and meeting so sad an end	I had nothing to do with my host going off upon a nocturnal excursion and meeting so sad an end .	swapped	False	False
with you there is no reason why I should be perfectly frank	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	swapped	False	False
there are of the family at the Hall	""" At the same time , "" said Baskerville , "" it 's clear enough that so long as there are none of the family at the Hall these people have a mighty fine home and nothing to do . """	swapped	False	False
there is supernatural about this	"You must allow that there is nothing supernatural about this , at any rate ? """	swapped	False	False
Their ears are symmetrical llowing the owl to locate a sound .	Their ears are asymmetrical allowing the owl to locate a sound .	swapped	False	False
The formation of the heart before birth is sometimes normal	The formation of the heart before birth is very complex and is sometimes abnormal .	swapped	False	False
I gave him such consolation as I might	I gave him such consolation as I might , but I thought of the pony on the Grimpen Mire , and I do not fancy that he will see his little dog again .	swapped	False	False
There are footsteps some clue to the criminals	"There are no footsteps nor any clue to the criminals . """	swapped	False	False
An irrational number can be fully written down in decimal form .	An irrational number can not be fully written down in decimal form .	swapped	False	False
I wo have those things in here	I wo not have those things in here , Mr. Lestrade .	swapped	False	False
I bind you to secrecy also , Dr. Watson	But not one word shall they have from me , and I bind you to secrecy also , Dr. Watson .	swapped	False	False
Quite a few festivals are held in this month	Quite a few festivals are not held in this month .	swapped	False	False
some ghosts might cause fear	some ghosts might never cause fear .	swapped	False	False
me to go with him	It had not crossed my mind however , that he would wish me to go with him , nor could I understand how we could both be absent at a moment which he himself declared to be critical .	swapped	False	False
There was need to speak for me	There was no need for her to speak , nor for me either .	swapped	False	False
you have a portrait group of three ladies upon the mantelpiece , one of whom is undoubtedly yourself , while the others are so exceedingly like you that there could be doubt of the relationship	""" I observed the very instant that I entered the room that you have a portrait group of three ladies upon the mantelpiece , one of whom is undoubtedly yourself , while the others are so exceedingly like you that there could be no doubt of the relationship . """	swapped	False	False
I have not confided to anyone	""" In doing so , "" said Dr. Mortimer , who had begun to show signs of some strong emotion , "" I am telling that which I have not confided to anyone ."	swapped	False	False
Everything was working in my favour , and I swore that it should be through lack of energy or perseverance that I should miss the chance which fortune had thrown in my way .	Everything was working in my favour , and I swore that it should not be through lack of energy or perseverance that I should miss the chance which fortune had thrown in my way .	swapped	False	False
I said	"Please forget the words I said , which have no application whatever to you . """	swapped	False	False
I had come into the parlour expected	I had come into the parlour unexpected , and as I walked in at the door I saw a light of welcome on my wife 's face .	swapped	False	False
"` ` Let us say more about it . """	""" Let us say no more about it . """	swapped	False	False
I should miss the chance which fortune had thrown in my way	Everything was working in my favour , and I swore that it should not be through lack of energy or perseverance that I should miss the chance which fortune had thrown in my way .	swapped	False	False
you can remember	""" Nothing more that you can remember ? """	swapped	False	False
I had done	Still , I could see no better course than to observe him from the hill , and to clear my conscience by confessing to him afterwards what I had done .	swapped	False	False
there were so many of them joined together , with so much purity bad powers , even with Midoriko 's own power of goodness and purity ,	Because there were so many of them joined together , with so much impurity ( bad powers ) , even with Midoriko 's own power of goodness and purity , they could easily win over Midoriko .	swapped	False	False
for heaven 's sake do let them know that they are watched	"Creep forward quietly and see what they are doingbut for heaven 's sake do not let them know that they are watched ! """	swapped	False	False
He referred to her again and again on our walk home , and since then hardly a day has passed that we have seen something of the brother and sister .	He referred to her again and again on our walk home , and since then hardly a day has passed that we have not seen something of the brother and sister .	swapped	False	False
For the moment I could proceed farther in that direction , but must turn back to that other clue which was to be sought for among the stone huts upon the moor .	For the moment I could proceed no farther in that direction , but must turn back to that other clue which was to be sought for among the stone huts upon the moor .	swapped	False	False
more complex case had come to him all the long series of his sensational investigations	Holmes himself had said that no more complex case had come to him in all the long series of his sensational investigations .	swapped	False	False
I could possibly have done had I been living in the Hall	"As it is , I have been able to get about as I could not possibly have done had I been living in the Hall , and I remain an unknown factor in the business , ready to throw in all my weight at a critical moment . """	swapped	False	False
he has done all that he has	"That is the whole truth , as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me , for whose sake he has done all that he has . """	swapped	False	False
he was up all night	Mr. Sherlock Holmes , who was usually very late in the mornings , save upon those not infrequent occasions when he was up all night , was seated at the breakfast table .	swapped	False	False
I can shut my eyes but I see those two faces staring at mestaring at me as they stared when my boat broke through the haze .	I can not shut my eyes but I see those two faces staring at mestaring at me as they stared when my boat broke through the haze .	swapped	False	False
I could be sure of that	""" Well , I could not be sure of that , but I dare say my fare knew all about it ."	swapped	False	False
` ` I do see how that is to be managed , unless you break in the door .	""" I do not see how that is to be managed , unless you break in the door ."	swapped	False	False
us to pretend that we do not know you , Dr. Watson	""" It is useless for us to pretend that we do not know you , Dr. Watson , "" said he ."	swapped	False	False
You have received your rent , and he is not a troublesome lodger , though he is certainly an usual one .	You have received your rent , and he is not a troublesome lodger , though he is certainly an unusual one .	swapped	False	False
we should be power to prevent it	If their intentions are evil they might do you a mischief , and we should be powerless to prevent it .	swapped	False	False
Well , Sarah found that she could make a living in Liverpool	""" ` Well , Sarah found that she could not make a living in Liverpool , so she went back , as I understand , to live with her sister in Croydon , and things jogged on much the same as ever at home ."	swapped	False	False
` But I can forget them , Miss Stapleton	""" But I can not forget them , Miss Stapleton , "" said I ."	swapped	False	False
"` ` There 's doubt about the authenticity , for the name and the date , 1647 , are on the back of the canvas . """	""" There 's no doubt about the authenticity , for the name and the date , 1647 , are on the back of the canvas . """	swapped	False	False
I could leave it where it was	""" Well , sir , it did not appear to be a matter which concerned the police , and yet , when you have heard the facts , you must admit that I could not leave it where it was ."	swapped	False	False
"The investigation really was a very simple one , "" remarked Holmes , ` ` but I do think it struck him in that light when he first called us in ."	"The investigation really was a very simple one , "" remarked Holmes , "" but I do not think it struck him in that light when he first called us in ."	swapped	False	False
There is Mr. Frankland , of Lafter Hall , who is also an known factor	There is Mr. Frankland , of Lafter Hall , who is also an unknown factor , and there are one or two other neighbours .	swapped	False	False
Some years ago , however , when she resided at Penge , she let apartments in her house to three young medical students , whom she was obliged to get rid of on account of their noisy and regular habits .	Some years ago , however , when she resided at Penge , she let apartments in her house to three young medical students , whom she was obliged to get rid of on account of their noisy and irregular habits .	swapped	False	False
I have come here with object except to help him .	I have come here with no object except to help him .	swapped	False	False
harm might come of his soft , tricky ways	For a month he was in and out of my house , and never once did it cross my mind that harm might come of his soft , tricky ways .	swapped	False	False
` ` You can not effect an arrest until to morrow night at the earliest .	""" You can not effect an arrest until to-morrow night at the earliest ."	swapped	False	False
There is , on the face of it , something natural about this strange and sudden friendship between the young Spaniard and Scott Eccles .	There is , on the face of it , something unnatural about this strange and sudden friendship between the young Spaniard and Scott Eccles .	swapped	False	False
can prevent me from going to the home of my own people	"There is no devil in hell , Mr. Holmes , and there is no man upon earth who can prevent me from going to the home of my own people , and you may take that to be my final answer . """	swapped	False	False
they are	Where they came from , or who they are , nobody has an idea .	swapped	False	False
I do profess to understand it yet	""" Well , I do not profess to understand it yet ."	swapped	False	False
you were a good man	""" If I did not know you were a good man , Walters , I should put a black mark against you for this ."	swapped	False	False
And yet it can be denied that the prosperity of the whole poor , bleak countryside depends upon his presence .	And yet it can not be denied that the prosperity of the whole poor , bleak countryside depends upon his presence .	swapped	False	False
"It has been a long evening , and I do think my nerve is as good as it was . """	"It has been a long evening , and I do not think my nerve is as good as it was . """	swapped	False	False
I hope for God 's mercy	But when little Mary was there I had never a thought of her , and that I swear as I hope for God 's mercy .	swapped	False	False
Art can also be a form of expression of emotion	Art can not also be a form of expression of emotion .	swapped	False	False
Asymmetric cryptography is harder to use .	Asymmetric cryptography is harder to use .	swapped	False	False
his small light eyes glanced incessantly from the girl to me	He spoke unconcernedly , but his small light eyes glanced incessantly from the girl to me .	swapped	False	False
from that moment I was my own master	""" ` I tell you , and I give you my word for it , that from that moment I was not my own master , and it is all like a dim dream when I look back on it ."	swapped	False	False
"` ` I am convinced , sir , "" she said , ` ` that this matter is a mistake , and that the parcel was meant for me at all ."	""" I am convinced , sir , "" she said , "" that this matter is a mistake , and that the parcel was never meant for me at all ."	swapped	False	False
I had Sir John Morland for trespass because he shot in his own warren	"I have not had such a day since I had Sir John Morland for trespass because he shot in his own warren . """	swapped	False	False
single earthquake in the sequence is obviously the main shock	They are different from earthquakes followed by a series of aftershocks by the fact that no single earthquake in the sequence is obviously the main shock , therefore none have notable higher magnitudes than the other .	swapped	False	False
It is conceivable that he could have held out upon the moor during all that time	It is surely inconceivable that he could have held out upon the moor during all that time .	swapped	False	False
Her eyes blazed at me	Her eyes blazed at me , and she tapped the ground impatiently with her foot .	swapped	False	False
What all this meant I could imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	swapped	False	False
With the exception of Mr. Frankland , of Lafter Hall , and Mr. Stapleton , the naturalist , there are other men of education within many miles	With the exception of Mr. Frankland , of Lafter Hall , and Mr. Stapleton , the naturalist , there are no other men of education within many miles .	swapped	False	False
` ` That we should have heard his screamsmy God , those screams !and yet have been able to save him !	""" That we should have heard his screamsmy God , those screams !and yet have been unable to save him !"	swapped	False	False
you could see more than a few hundred yards	There was a bit of a haze , and you could not see more than a few hundred yards .	swapped	False	False
` ` As a medical man , you are aware , Watson , that there is part of the body which varies so much as the human ear .	""" As a medical man , you are aware , Watson , that there is no part of the body which varies so much as the human ear ."	swapped	False	False
We had arranged plan of campaign	We had arranged no plan of campaign , but the baronet is a man to whom the most direct way is always the most natural .	swapped	False	False
It filled the whole air , and yet it was possible to say whence it came .	It filled the whole air , and yet it was impossible to say whence it came .	swapped	False	False
I had often suffered under it , but more so than during that long drive in the darkness .	I had often suffered under it , but never more so than during that long drive in the darkness .	swapped	False	False
he left them	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	swapped	False	False
For half an hour I waited with every nerve on the alert , but there came other sound save the chiming clock and the rustle of the ivy on the wall .	For half an hour I waited with every nerve on the alert , but there came no other sound save the chiming clock and the rustle of the ivy on the wall .	swapped	False	False
I am a child .	I am not a child .	swapped	False	False
"` ` In your opinion there is a diabolical agency which makes Dartmoor an safe abode for a Baskervillethat is your opinion ? """	""" In your opinion there is a diabolical agency which makes Dartmoor an unsafe abode for a Baskervillethat is your opinion ? """	swapped	False	False
Her bulky figure in a shawl and skirt might have been comic were it for the intensity of feeling upon her face .	Her bulky figure in a shawl and skirt might have been comic were it not for the intensity of feeling upon her face .	swapped	False	False
the operator beforehand must be certain that is touching the patient	A button must still be pushed manually to trigger the shock , as the operator beforehand must be certain that nobody is touching the patient .	swapped	False	False
There was one but Alec Fairbairn whose step she could have mistaken for mine	There was no one but Alec Fairbairn whose step she could have mistaken for mine .	swapped	False	False
They are on both sides .	They are never on both sides .	swapped	False	False
"I repeat that the lady is his wife and his sister . """	"I repeat that the lady is his wife and not his sister . """	swapped	False	False
I can answer that question	""" I am afraid that I can not answer that question . """	swapped	False	False
you are yourself luminous	It may be that you are not yourself luminous , but you are a conductor of light .	swapped	False	False
Holmes breathed a prayer of gratitude when we saw that there was sign of a wound and that the rescue had been in time	We tore away his collar , and Holmes breathed a prayer of gratitude when we saw that there was no sign of a wound and that the rescue had been in time .	swapped	False	False
he is at the bottom of fifty murders	We KNOW he is at the bottom of fifty murders , and yet we have nothing positive we can take him on .	swapped	False	False
It is incredible , possible , that it should really be outside the ordinary laws of nature .	It is incredible , impossible , that it should really be outside the ordinary laws of nature .	swapped	False	False
Acceleration has its own units of measurement .	Acceleration never has its own units of measurement .	swapped	False	False
"If it concerned no one but myself I would try to keep it from you . """	"If it concerned no one but myself I would not try to keep it from you . """	swapped	False	False
"` ` You have observed anyone follow or watch you ? """	""" You have not observed anyone follow or watch you ? """	swapped	False	False
you could do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people	I was well aware that you could not do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War , for I remember your expressing your passionate indignation at the way in which he was received by the more turbulent of our people .	swapped	False	False
the story goes	And the man , as the story goes , was so crazed with fear that he could scarce speak , but at last he said that he had indeed seen the unhappy maiden , with the hounds upon her track .	swapped	False	False
such a situation continue	We can not let such a situation continue .	swapped	False	False
we have been shadowed during the last two days	""" I can swear to one thing , and that is that we have not been shadowed during the last two days ."	swapped	False	False
I do understand how you know these things	""" I do not understand how you know these things , "" she said ."	swapped	False	False
it is ordinary love escapade	This much we can say : that it is no ordinary love escapade .	swapped	False	False
Overall , Washington did not win many battles	Overall , Washington did not win many battles , but he never let the British destroy his army .	swapped	False	False
Holmes looked eagerly round for another	Holmes looked eagerly round for another , but no empty one was in sight .	swapped	False	False
"I will take an pleasant remembrance back to London with me tomorrow . """	"I will take an unpleasant remembrance back to London with me tomorrow . """	swapped	False	False
practical good could result from it	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	swapped	False	False
` ` Well , apart from this cigarette end , was it suggestive that the only time the lodger went out was immediately after his taking the rooms ?	""" Well , apart from this cigarette-end , was it not suggestive that the only time the lodger went out was immediately after his taking the rooms ?"	swapped	False	False
And w she has word hard eugh for Jim Browner .	And now she has no word hard enough for Jim Browner .	swapped	False	False
"` ` Very good ; and I will ask you also to do it blindly , always asking the reason . """	""" Very good ; and I will ask you also to do it blindly , without always asking the reason . """	swapped	False	False
I can tell it	"I can not tell it . """	swapped	False	False
Stapleton looked with favour upon his sister 's suitor	We know now why Stapleton looked with disfavour upon his sister 's suitoreven when that suitor was so eligible a one as Sir Henry .	swapped	False	False
I will say more	But I have done my duty now and I will say no more .	swapped	False	False
"` ` This is very painfulvery painful and terrible , "" said Mr. Scott Eccles in a querulous voice , ` ` but it is really commonly hard on me ."	""" This is very painfulvery painful and terrible , "" said Mr. Scott Eccles in a querulous voice , "" but it is really uncommonly hard on me ."	swapped	False	False
abandoned the hope chase	We had risen from our rocks and were turning to go home , having abandoned the hopeless chase .	swapped	False	False
It will result in a little fever .	It will never result in a little fever .	swapped	False	False
there are few people living within driving distance of this whom you do know	""" By the way , Mortimer , "" said I as we jolted along the rough road , "" I suppose there are few people living within driving distance of this whom you do not know ? """	swapped	False	False
you will see that if there was a plot it was against you	"But now you have heard it , and you will see that if there was a plot it was not against you . """	swapped	False	False
one in particular has lived there since	Prehistoric man lived thickly on the moor , and as no one in particular has lived there since , we find all his little arrangements exactly as he left them .	swapped	False	False
my friend had some luggage some explanations for its absence	He did raise his eyebrows , however , when he found that my friend had neither any luggage nor any explanations for its absence .	swapped	False	False
It is credible that it should really be outside the ordinary laws of nature	It is incredible , impossible , that it should really be outside the ordinary laws of nature .	swapped	False	False
"There is to which he , or anyone else , could object . """	"There is nothing to which he , or anyone else , could object . """	swapped	False	False
the tone of his greeting was altogether a cordial one	""" Halloa , Beryl ! "" said he , and it seemed to me that the tone of his greeting was not altogether a cordial one ."	swapped	False	False
I have read you exceedingly to heart	He had taken this legend which I have read you exceedingly to heartso much so that , although he would walk in his own grounds , nothing would induce him to go out upon the moor at night .	swapped	False	False
he had fallen	Sir Henry lay insensible where he had fallen .	swapped	False	False
he has acted from motives which are not criminal , and which he would wish to have known	"But if you think that he has acted from motives which are not criminal , and which he would wish to have known , then you can not serve him better than by telling us the whole story . """	swapped	False	False
It would be as well if you could make it convenient to return before evening .	It would be as well if you could make it convenient not to return before evening .	swapped	False	False
This is caused by many things	This is never caused by many things .	swapped	False	False
"I fear that we shall again be easy in our minds at Baskerville Hall . """	"I fear that we shall never again be easy in our minds at Baskerville Hall . """	swapped	False	False
I had left it	She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	swapped	False	False
the rising mud oozed swiftly in upon them	There was no chance of finding footsteps in the mire , for the rising mud oozed swiftly in upon them , but as we at last reached firmer ground beyond the morass we all looked eagerly for them .	swapped	False	False
we drove back to Baker Street	Holmes sat in silence in the cab as we drove back to Baker Street , and I knew from his drawn brows and keen face that his mind , like my own , was busy in endeavouring to frame some scheme into which all these strange and apparently disconnected episodes could be fitted .	swapped	False	False
A list of the 50 most common words in English has words longer than six letters	A list of the 50 most common words in English has no words longer than six letters , and more than half have no more than three letters .	swapped	False	False
"` ` You have observed , of course , "" said he at last , ` ` that the ears are a pair . """	""" You have observed , of course , "" said he at last , "" that the ears are not a pair . """	swapped	False	False
There are a few gipsies and labouring folk for whom I can answer	""" There are a few gipsies and labouring folk for whom I can not answer , but among the farmers or gentry there is no one whose initials are those ."	swapped	False	False
